x,phi(x)
0.0000000e+00,1.0000000e+00
5.0000000e-03,9.7752893e-01
1.0000000e-02,9.5604450e-01
1.5000000e-02,9.3550210e-01
2.0000000e-02,9.1585914e-01
2.5000000e-02,8.9707496e-01
3.0000000e-02,8.7911074e-01
3.5000000e-02,8.6192943e-01
4.0000000e-02,8.4549565e-01
4.5000000e-02,8.2977562e-01
5.0000000e-02,8.1473710e-01
5.5000000e-02,8.0034930e-01
6.0000000e-02,7.8658285e-01
6.5000000e-02,7.7340967e-01
7.0000000e-02,7.6080299e-01
7.5000000e-02,7.4873724e-01
8.0000000e-02,7.3718800e-01
8.5000000e-02,7.2613196e-01
9.0000000e-02,7.1554688e-01
9.5000000e-02,7.0541151e-01
1.0000000e-01,6.9570558e-01
1.0500000e-01,6.8640972e-01
1.1000000e-01,6.7750544e-01
1.1500000e-01,6.6897511e-01
1.2000000e-01,6.6080188e-01
1.2500000e-01,6.5296966e-01
1.3000000e-01,6.4546310e-01
1.3500000e-01,6.3826753e-01
1.4000000e-01,6.3136897e-01
1.4500000e-01,6.2475404e-01
1.5000000e-01,6.1841001e-01
1.5500000e-01,6.1232468e-01
1.6000000e-01,6.0648642e-01
1.6500000e-01,6.0088415e-01
1.7000000e-01,5.9550726e-01
1.7500000e-01,5.9034563e-01
1.8000000e-01,5.8538961e-01
1.8500000e-01,5.8062997e-01
1.9000000e-01,5.7605791e-01
1.9500000e-01,5.7166502e-01
2.0000000e-01,5.6744327e-01
2.0500000e-01,5.6338501e-01
2.1000000e-01,5.5948291e-01
2.1500000e-01,5.5573000e-01
2.2000000e-01,5.5211961e-01
2.2500000e-01,5.4864536e-01
2.3000000e-01,5.4530119e-01
2.3500000e-01,5.4208128e-01
2.4000000e-01,5.3898010e-01
2.4500000e-01,5.3599236e-01
2.5000000e-01,5.3311301e-01
2.5500000e-01,5.3033721e-01
2.6000000e-01,5.2766038e-01
2.6500000e-01,5.2507811e-01
2.7000000e-01,5.2258621e-01
2.7500000e-01,5.2018067e-01
2.8000000e-01,5.1785765e-01
2.8500000e-01,5.1561352e-01
2.9000000e-01,5.1344477e-01
2.9500000e-01,5.1134809e-01
3.0000000e-01,5.0932029e-01
3.0500000e-01,5.0735832e-01
3.1000000e-01,5.0545930e-01
3.1500000e-01,5.0362046e-01
3.2000000e-01,5.0183914e-01
3.2500000e-01,5.0011284e-01
3.3000000e-01,4.9843912e-01
3.3500000e-01,4.9681571e-01
3.4000000e-01,4.9524039e-01
3.4500000e-01,4.9371107e-01
3.5000000e-01,4.9222574e-01
3.5500000e-01,4.9078249e-01
3.6000000e-01,4.8937950e-01
3.6500000e-01,4.8801501e-01
3.7000000e-01,4.8668737e-01
3.7500000e-01,4.8539498e-01
3.8000000e-01,4.8413631e-01
3.8500000e-01,4.8290993e-01
3.9000000e-01,4.8171444e-01
3.9500000e-01,4.8054852e-01
4.0000000e-01,4.7941090e-01
4.0500000e-01,4.7830038e-01
4.1000000e-01,4.7721581e-01
4.1500000e-01,4.7615608e-01
4.2000000e-01,4.7512015e-01
4.2500000e-01,4.7410699e-01
4.3000000e-01,4.7311567e-01
4.3500000e-01,4.7214526e-01
4.4000000e-01,4.7119489e-01
4.4500000e-01,4.7026371e-01
4.5000000e-01,4.6935093e-01
4.5500000e-01,4.6845580e-01
4.6000000e-01,4.6757757e-01
4.6500000e-01,4.6671555e-01
4.7000000e-01,4.6586908e-01
4.7500000e-01,4.6503753e-01
4.8000000e-01,4.6422028e-01
4.8500000e-01,4.6341675e-01
4.9000000e-01,4.6262640e-01
4.9500000e-01,4.6184868e-01
5.0000000e-01,4.6108310e-01
5.0500000e-01,4.6032918e-01
5.1000000e-01,4.5958644e-01
5.1500000e-01,4.5885446e-01
5.2000000e-01,4.5813280e-01
5.2500000e-01,4.5742107e-01
5.3000000e-01,4.5671887e-01
5.3500000e-01,4.5602585e-01
5.4000000e-01,4.5534165e-01
5.4500000e-01,4.5466593e-01
5.5000000e-01,4.5399837e-01
5.5500000e-01,4.5333867e-01
5.6000000e-01,4.5268652e-01
5.6500000e-01,4.5204166e-01
5.7000000e-01,4.5140381e-01
5.7500000e-01,4.5077271e-01
5.8000000e-01,4.5014813e-01
5.8500000e-01,4.4952982e-01
5.9000000e-01,4.4891756e-01
5.9500000e-01,4.4831113e-01
6.0000000e-01,4.4771034e-01
6.0500000e-01,4.4711498e-01
6.1000000e-01,4.4652487e-01
6.1500000e-01,4.4593982e-01
6.2000000e-01,4.4535967e-01
6.2500000e-01,4.4478425e-01
6.3000000e-01,4.4421341e-01
6.3500000e-01,4.4364699e-01
6.4000000e-01,4.4308485e-01
6.4500000e-01,4.4252685e-01
6.5000000e-01,4.4197286e-01
6.5500000e-01,4.4142275e-01
6.6000000e-01,4.4087641e-01
6.6500000e-01,4.4033371e-01
6.7000000e-01,4.3979455e-01
6.7500000e-01,4.3925882e-01
6.8000000e-01,4.3872642e-01
6.8500000e-01,4.3819725e-01
6.9000000e-01,4.3767122e-01
6.9500000e-01,4.3714824e-01
7.0000000e-01,4.3662822e-01
7.0500000e-01,4.3611108e-01
7.1000000e-01,4.3559675e-01
7.1500000e-01,4.3508514e-01
7.2000000e-01,4.3457619e-01
7.2500000e-01,4.3406982e-01
7.3000000e-01,4.3356598e-01
7.3500000e-01,4.3306458e-01
7.4000000e-01,4.3256559e-01
7.4500000e-01,4.3206893e-01
7.5000000e-01,4.3157455e-01
7.5500000e-01,4.3108240e-01
7.6000000e-01,4.3059242e-01
7.6500000e-01,4.3010457e-01
7.7000000e-01,4.2961879e-01
7.7500000e-01,4.2913504e-01
7.8000000e-01,4.2865329e-01
7.8500000e-01,4.2817347e-01
7.9000000e-01,4.2769556e-01
7.9500000e-01,4.2721952e-01
8.0000000e-01,4.2674530e-01
8.0500000e-01,4.2627288e-01
8.1000000e-01,4.2580221e-01
8.1500000e-01,4.2533326e-01
8.2000000e-01,4.2486601e-01
8.2500000e-01,4.2440042e-01
8.3000000e-01,4.2393645e-01
8.3500000e-01,4.2347409e-01
8.4000000e-01,4.2301330e-01
8.4500000e-01,4.2255406e-01
8.5000000e-01,4.2209634e-01
8.5500000e-01,4.2164012e-01
8.6000000e-01,4.2118537e-01
8.6500000e-01,4.2073208e-01
8.7000000e-01,4.2028021e-01
8.7500000e-01,4.1982974e-01
8.8000000e-01,4.1938067e-01
8.8500000e-01,4.1893295e-01
8.9000000e-01,4.1848659e-01
8.9500000e-01,4.1804155e-01
9.0000000e-01,4.1759783e-01
9.0500000e-01,4.1715539e-01
9.1000000e-01,4.1671423e-01
9.1500000e-01,4.1627433e-01
9.2000000e-01,4.1583568e-01
9.2500000e-01,4.1539825e-01
9.3000000e-01,4.1496204e-01
9.3500000e-01,4.1452703e-01
9.4000000e-01,4.1409320e-01
9.4500000e-01,4.1366054e-01
9.5000000e-01,4.1322904e-01
9.5500000e-01,4.1279869e-01
9.6000000e-01,4.1236947e-01
9.6500000e-01,4.1194138e-01
9.7000000e-01,4.1151439e-01
9.7500000e-01,4.1108851e-01
9.8000000e-01,4.1066371e-01
9.8500000e-01,4.1023999e-01
9.9000000e-01,4.0981734e-01
9.9500000e-01,4.0939574e-01
1.0000000e+00,4.0897520e-01
1.0050000e+00,4.0855569e-01
1.0100000e+00,4.0813720e-01
1.0150000e+00,4.0771974e-01
1.0200000e+00,4.0730329e-01
1.0250000e+00,4.0688784e-01
1.0300000e+00,4.0647338e-01
1.0350000e+00,4.0605991e-01
1.0400000e+00,4.0564742e-01
1.0450000e+00,4.0523590e-01
1.0500000e+00,4.0482534e-01
1.0550000e+00,4.0441573e-01
1.0600000e+00,4.0400707e-01
1.0650000e+00,4.0359935e-01
1.0700000e+00,4.0319256e-01
1.0750000e+00,4.0278670e-01
1.0800000e+00,4.0238176e-01
1.0850000e+00,4.0197773e-01
