x,lamcn(x)
0.0000000e+00,2.5275876e+00
5.0000000e-03,2.5327194e+00
1.0000000e-02,2.5377932e+00
1.5000000e-02,2.5428094e+00
2.0000000e-02,2.5477686e+00
2.5000000e-02,2.5526712e+00
3.0000000e-02,2.5575176e+00
3.5000000e-02,2.5623083e+00
4.0000000e-02,2.5670437e+00
4.5000000e-02,2.5717243e+00
5.0000000e-02,2.5763504e+00
5.5000000e-02,2.5809225e+00
6.0000000e-02,2.5854411e+00
6.5000000e-02,2.5899065e+00
7.0000000e-02,2.5943191e+00
7.5000000e-02,2.5986794e+00
8.0000000e-02,2.6029878e+00
8.5000000e-02,2.6072447e+00
9.0000000e-02,2.6114504e+00
9.5000000e-02,2.6156054e+00
1.0000000e-01,2.6197101e+00
1.0500000e-01,2.6237648e+00
1.1000000e-01,2.6277700e+00
1.1500000e-01,2.6317260e+00
1.2000000e-01,2.6356331e+00
1.2500000e-01,2.6394919e+00
1.3000000e-01,2.6433025e+00
1.3500000e-01,2.6470655e+00
1.4000000e-01,2.6507811e+00
1.4500000e-01,2.6544498e+00
1.5000000e-01,2.6580718e+00
1.5500000e-01,2.6616476e+00
1.6000000e-01,2.6651774e+00
1.6500000e-01,2.6686617e+00
1.7000000e-01,2.6721008e+00
1.7500000e-01,2.6754949e+00
1.8000000e-01,2.6788446e+00
1.8500000e-01,2.6821500e+00
1.9000000e-01,2.6854115e+00
1.9500000e-01,2.6886295e+00
2.0000000e-01,2.6918042e+00
2.0500000e-01,2.6949361e+00
2.1000000e-01,2.6980253e+00
2.1500000e-01,2.7010723e+00
2.2000000e-01,2.7040774e+00
2.2500000e-01,2.7070408e+00
2.3000000e-01,2.7099628e+00
2.3500000e-01,2.7128439e+00
2.4000000e-01,2.7156842e+00
2.4500000e-01,2.7184841e+00
2.5000000e-01,2.7212438e+00
2.5500000e-01,2.7239637e+00
2.6000000e-01,2.7266441e+00
2.6500000e-01,2.7292853e+00
2.7000000e-01,2.7318874e+00
2.7500000e-01,2.7344509e+00
2.8000000e-01,2.7369760e+00
2.8500000e-01,2.7394630e+00
2.9000000e-01,2.7419122e+00
2.9500000e-01,2.7443238e+00
3.0000000e-01,2.7466981e+00
3.0500000e-01,2.7490354e+00
3.1000000e-01,2.7513360e+00
3.1500000e-01,2.7536000e+00
3.2000000e-01,2.7558279e+00
3.2500000e-01,2.7580198e+00
3.3000000e-01,2.7601760e+00
3.3500000e-01,2.7622967e+00
3.4000000e-01,2.7643823e+00
3.4500000e-01,2.7664329e+00
3.5000000e-01,2.7684489e+00
3.5500000e-01,2.7704304e+00
3.6000000e-01,2.7723778e+00
3.6500000e-01,2.7742912e+00
3.7000000e-01,2.7761709e+00
3.7500000e-01,2.7780171e+00
3.8000000e-01,2.7798301e+00
3.8500000e-01,2.7816102e+00
3.9000000e-01,2.7833575e+00
3.9500000e-01,2.7850722e+00
4.0000000e-01,2.7867547e+00
4.0500000e-01,2.7884052e+00
4.1000000e-01,2.7900238e+00
4.1500000e-01,2.7916108e+00
4.2000000e-01,2.7931664e+00
4.2500000e-01,2.7946908e+00
4.3000000e-01,2.7961843e+00
4.3500000e-01,2.7976471e+00
4.4000000e-01,2.7990794e+00
4.4500000e-01,2.8004814e+00
4.5000000e-01,2.8018533e+00
4.5500000e-01,2.8031954e+00
4.6000000e-01,2.8045078e+00
4.6500000e-01,2.8057907e+00
4.7000000e-01,2.8070444e+00
4.7500000e-01,2.8082690e+00
4.8000000e-01,2.8094648e+00
4.8500000e-01,2.8106320e+00
4.9000000e-01,2.8117707e+00
4.9500000e-01,2.8128812e+00
5.0000000e-01,2.8139637e+00
5.0500000e-01,2.8150183e+00
5.1000000e-01,2.8160452e+00
5.1500000e-01,2.8170447e+00
5.2000000e-01,2.8180169e+00
5.2500000e-01,2.8189620e+00
5.3000000e-01,2.8198802e+00
