x,phi1(x)
0.0000000e+00,1.1838423e+00
5.0000000e-03,1.1830891e+00
1.0000000e-02,1.1823280e+00
1.5000000e-02,1.1815592e+00
2.0000000e-02,1.1807826e+00
2.5000000e-02,1.1799986e+00
3.0000000e-02,1.1792072e+00
3.5000000e-02,1.1784085e+00
4.0000000e-02,1.1776028e+00
4.5000000e-02,1.1767900e+00
5.0000000e-02,1.1759704e+00
5.5000000e-02,1.1751441e+00
6.0000000e-02,1.1743111e+00
6.5000000e-02,1.1734716e+00
7.0000000e-02,1.1726258e+00
7.5000000e-02,1.1717736e+00
8.0000000e-02,1.1709153e+00
8.5000000e-02,1.1700510e+00
9.0000000e-02,1.1691808e+00
9.5000000e-02,1.1683047e+00
1.0000000e-01,1.1674229e+00
1.0500000e-01,1.1665354e+00
1.1000000e-01,1.1656425e+00
1.1500000e-01,1.1647442e+00
1.2000000e-01,1.1638405e+00
1.2500000e-01,1.1629317e+00
1.3000000e-01,1.1620177e+00
1.3500000e-01,1.1610987e+00
1.4000000e-01,1.1601748e+00
1.4500000e-01,1.1592461e+00
1.5000000e-01,1.1583126e+00
1.5500000e-01,1.1573745e+00
1.6000000e-01,1.1564319e+00
1.6500000e-01,1.1554847e+00
1.7000000e-01,1.1545332e+00
1.7500000e-01,1.1535773e+00
1.8000000e-01,1.1526173e+00
1.8500000e-01,1.1516531e+00
1.9000000e-01,1.1506849e+00
1.9500000e-01,1.1497127e+00
2.0000000e-01,1.1487366e+00
2.0500000e-01,1.1477566e+00
2.1000000e-01,1.1467730e+00
2.1500000e-01,1.1457856e+00
2.2000000e-01,1.1447947e+00
2.2500000e-01,1.1438003e+00
2.3000000e-01,1.1428024e+00
2.3500000e-01,1.1418011e+00
2.4000000e-01,1.1407965e+00
2.4500000e-01,1.1397886e+00
2.5000000e-01,1.1387776e+00
2.5500000e-01,1.1377635e+00
2.6000000e-01,1.1367463e+00
2.6500000e-01,1.1357262e+00
2.7000000e-01,1.1347031e+00
2.7500000e-01,1.1336772e+00
2.8000000e-01,1.1326485e+00
2.8500000e-01,1.1316170e+00
2.9000000e-01,1.1305829e+00
2.9500000e-01,1.1295462e+00
3.0000000e-01,1.1285069e+00
3.0500000e-01,1.1274651e+00
3.1000000e-01,1.1264208e+00
3.1500000e-01,1.1253742e+00
3.2000000e-01,1.1243252e+00
3.2500000e-01,1.1232740e+00
3.3000000e-01,1.1222205e+00
3.3500000e-01,1.1211648e+00
3.4000000e-01,1.1201070e+00
3.4500000e-01,1.1190471e+00
3.5000000e-01,1.1179852e+00
3.5500000e-01,1.1169213e+00
3.6000000e-01,1.1158555e+00
3.6500000e-01,1.1147878e+00
3.7000000e-01,1.1137183e+00
3.7500000e-01,1.1126469e+00
3.8000000e-01,1.1115738e+00
3.8500000e-01,1.1104990e+00
3.9000000e-01,1.1094226e+00
3.9500000e-01,1.1083445e+00
4.0000000e-01,1.1072649e+00
4.0500000e-01,1.1061837e+00
4.1000000e-01,1.1051010e+00
4.1500000e-01,1.1040169e+00
4.2000000e-01,1.1029313e+00
4.2500000e-01,1.1018444e+00
4.3000000e-01,1.1007561e+00
4.3500000e-01,1.0996665e+00
4.4000000e-01,1.0985757e+00
4.4500000e-01,1.0974837e+00
4.5000000e-01,1.0963904e+00
4.5500000e-01,1.0952960e+00
4.6000000e-01,1.0942005e+00
4.6500000e-01,1.0931039e+00
4.7000000e-01,1.0920063e+00
4.7500000e-01,1.0909076e+00
4.8000000e-01,1.0898080e+00
4.8500000e-01,1.0887074e+00
4.9000000e-01,1.0876059e+00
4.9500000e-01,1.0865035e+00
5.0000000e-01,1.0854002e+00
5.0500000e-01,1.0842962e+00
5.1000000e-01,1.0831913e+00
5.1500000e-01,1.0820856e+00
5.2000000e-01,1.0809793e+00
5.2500000e-01,1.0798722e+00
5.3000000e-01,1.0787644e+00
5.3500000e-01,1.0776560e+00
5.4000000e-01,1.0765469e+00
5.4500000e-01,1.0754373e+00
5.5000000e-01,1.0743270e+00
5.5500000e-01,1.0732163e+00
5.6000000e-01,1.0721050e+00
5.6500000e-01,1.0709932e+00
5.7000000e-01,1.0698809e+00
5.7500000e-01,1.0687682e+00
5.8000000e-01,1.0676551e+00
5.8500000e-01,1.0665416e+00
5.9000000e-01,1.0654277e+00
5.9500000e-01,1.0643134e+00
