x,lam0n(x)
0.0000000e+00,5.0634130e+00
5.0000000e-03,5.0902226e+00
1.0000000e-02,5.1170079e+00
1.5000000e-02,5.1437688e+00
2.0000000e-02,5.1705052e+00
2.5000000e-02,5.1972172e+00
3.0000000e-02,5.2239049e+00
3.5000000e-02,5.2505681e+00
4.0000000e-02,5.2772069e+00
4.5000000e-02,5.3038213e+00
5.0000000e-02,5.3304113e+00
5.5000000e-02,5.3569769e+00
6.0000000e-02,5.3835180e+00
6.5000000e-02,5.4100348e+00
7.0000000e-02,5.4365271e+00
7.5000000e-02,5.4629951e+00
8.0000000e-02,5.4894386e+00
8.5000000e-02,5.5158578e+00
9.0000000e-02,5.5422525e+00
9.5000000e-02,5.5686228e+00
1.0000000e-01,5.5949687e+00
1.0500000e-01,5.6212902e+00
1.1000000e-01,5.6475872e+00
1.1500000e-01,5.6738599e+00
1.2000000e-01,5.7001082e+00
1.2500000e-01,5.7263320e+00
1.3000000e-01,5.7525315e+00
1.3500000e-01,5.7787065e+00
1.4000000e-01,5.8048571e+00
1.4500000e-01,5.8309834e+00
1.5000000e-01,5.8570852e+00
1.5500000e-01,5.8831626e+00
1.6000000e-01,5.9092156e+00
1.6500000e-01,5.9352441e+00
1.7000000e-01,5.9612483e+00
1.7500000e-01,5.9872281e+00
1.8000000e-01,6.0131834e+00
1.8500000e-01,6.0391144e+00
1.9000000e-01,6.0650209e+00
1.9500000e-01,6.0909030e+00
2.0000000e-01,6.1167607e+00
2.0500000e-01,6.1425941e+00
2.1000000e-01,6.1684030e+00
2.1500000e-01,6.1941874e+00
2.2000000e-01,6.2199475e+00
2.2500000e-01,6.2456832e+00
2.3000000e-01,6.2713945e+00
2.3500000e-01,6.2970813e+00
2.4000000e-01,6.3227438e+00
2.4500000e-01,6.3483818e+00
2.5000000e-01,6.3739954e+00
2.5500000e-01,6.3995846e+00
2.6000000e-01,6.4251494e+00
2.6500000e-01,6.4506898e+00
2.7000000e-01,6.4762058e+00
2.7500000e-01,6.5016974e+00
2.8000000e-01,6.5271646e+00
2.8500000e-01,6.5526073e+00
2.9000000e-01,6.5780257e+00
2.9500000e-01,6.6034196e+00
3.0000000e-01,6.6287892e+00
3.0500000e-01,6.6541343e+00
3.1000000e-01,6.6794550e+00
3.1500000e-01,6.7047513e+00
3.2000000e-01,6.7300232e+00
3.2500000e-01,6.7552707e+00
3.3000000e-01,6.7804938e+00
3.3500000e-01,6.8056925e+00
3.4000000e-01,6.8308667e+00
3.4500000e-01,6.8560166e+00
3.5000000e-01,6.8811420e+00
3.5500000e-01,6.9062431e+00
3.6000000e-01,6.9313197e+00
3.6500000e-01,6.9563719e+00
3.7000000e-01,6.9813997e+00
3.7500000e-01,7.0064031e+00
3.8000000e-01,7.0313821e+00
3.8500000e-01,7.0563367e+00
3.9000000e-01,7.0812669e+00
3.9500000e-01,7.1061726e+00
4.0000000e-01,7.1310540e+00
4.0500000e-01,7.1559109e+00
4.1000000e-01,7.1807435e+00
