x,p1(x)
0.0000000e+00,5.0000000e-01
5.0000000e-03,5.0000022e-01
1.0000000e-02,5.0000086e-01
1.5000000e-02,5.0000194e-01
2.0000000e-02,5.0000344e-01
2.5000000e-02,5.0000537e-01
3.0000000e-02,5.0000773e-01
3.5000000e-02,5.0001051e-01
4.0000000e-02,5.0001372e-01
4.5000000e-02,5.0001736e-01
5.0000000e-02,5.0002141e-01
5.5000000e-02,5.0002589e-01
6.0000000e-02,5.0003079e-01
6.5000000e-02,5.0003611e-01
7.0000000e-02,5.0004185e-01
7.5000000e-02,5.0004801e-01
8.0000000e-02,5.0005458e-01
8.5000000e-02,5.0006157e-01
9.0000000e-02,5.0006898e-01
9.5000000e-02,5.0007680e-01
1.0000000e-01,5.0008504e-01
1.0500000e-01,5.0009369e-01
1.1000000e-01,5.0010275e-01
1.1500000e-01,5.0011223e-01
1.2000000e-01,5.0012211e-01
1.2500000e-01,5.0013241e-01
1.3000000e-01,5.0014311e-01
1.3500000e-01,5.0015422e-01
1.4000000e-01,5.0016574e-01
1.4500000e-01,5.0017766e-01
1.5000000e-01,5.0018999e-01
1.5500000e-01,5.0020272e-01
1.6000000e-01,5.0021586e-01
1.6500000e-01,5.0022940e-01
1.7000000e-01,5.0024334e-01
1.7500000e-01,5.0025769e-01
1.8000000e-01,5.0027243e-01
1.8500000e-01,5.0028757e-01
1.9000000e-01,5.0030311e-01
1.9500000e-01,5.0031905e-01
2.0000000e-01,5.0033539e-01
2.0500000e-01,5.0035212e-01
2.1000000e-01,5.0036925e-01
2.1500000e-01,5.0038677e-01
2.2000000e-01,5.0040468e-01
2.2500000e-01,5.0042299e-01
2.3000000e-01,5.0044169e-01
2.3500000e-01,5.0046078e-01
2.4000000e-01,5.0048026e-01
2.4500000e-01,5.0050013e-01
2.5000000e-01,5.0052039e-01
2.5500000e-01,5.0054103e-01
2.6000000e-01,5.0056207e-01
2.6500000e-01,5.0058349e-01
2.7000000e-01,5.0060529e-01
2.7500000e-01,5.0062748e-01
2.8000000e-01,5.0065005e-01
2.8500000e-01,5.0067301e-01
2.9000000e-01,5.0069634e-01
2.9500000e-01,5.0072006e-01
3.0000000e-01,5.0074416e-01
3.0500000e-01,5.0076864e-01
3.1000000e-01,5.0079350e-01
3.1500000e-01,5.0081873e-01
3.2000000e-01,5.0084435e-01
3.2500000e-01,5.0087033e-01
3.3000000e-01,5.0089670e-01
3.3500000e-01,5.0092344e-01
3.4000000e-01,5.0095055e-01
3.4500000e-01,5.0097804e-01
3.5000000e-01,5.0100590e-01
3.5500000e-01,5.0103413e-01
3.6000000e-01,5.0106273e-01
3.6500000e-01,5.0109171e-01
3.7000000e-01,5.0112105e-01
3.7500000e-01,5.0115076e-01
3.8000000e-01,5.0118084e-01
3.8500000e-01,5.0121129e-01
3.9000000e-01,5.0124210e-01
3.9500000e-01,5.0127328e-01
4.0000000e-01,5.0130482e-01
4.0500000e-01,5.0133673e-01
4.1000000e-01,5.0136900e-01
4.1500000e-01,5.0140163e-01
4.2000000e-01,5.0143463e-01
4.2500000e-01,5.0146798e-01
4.3000000e-01,5.0150170e-01
4.3500000e-01,5.0153578e-01
4.4000000e-01,5.0157021e-01
4.4500000e-01,5.0160500e-01
4.5000000e-01,5.0164016e-01
4.5500000e-01,5.0167566e-01
4.6000000e-01,5.0171153e-01
4.6500000e-01,5.0174774e-01
4.7000000e-01,5.0178432e-01
4.7500000e-01,5.0182124e-01
4.8000000e-01,5.0185852e-01
4.8500000e-01,5.0189616e-01
4.9000000e-01,5.0193414e-01
4.9500000e-01,5.0197247e-01
5.0000000e-01,5.0201116e-01
5.0500000e-01,5.0205019e-01
5.1000000e-01,5.0208958e-01
5.1500000e-01,5.0212931e-01
5.2000000e-01,5.0216939e-01
5.2500000e-01,5.0220981e-01
5.3000000e-01,5.0225058e-01
5.3500000e-01,5.0229170e-01
5.4000000e-01,5.0233316e-01
5.4500000e-01,5.0237496e-01
5.5000000e-01,5.0241711e-01
5.5500000e-01,5.0245959e-01
5.6000000e-01,5.0250242e-01
5.6500000e-01,5.0254560e-01
5.7000000e-01,5.0258911e-01
5.7500000e-01,5.0263296e-01
5.8000000e-01,5.0267715e-01
5.8500000e-01,5.0272168e-01
5.9000000e-01,5.0276654e-01
5.9500000e-01,5.0281175e-01
6.0000000e-01,5.0285728e-01
6.0500000e-01,5.0290316e-01
6.1000000e-01,5.0294937e-01
6.1500000e-01,5.0299591e-01
6.2000000e-01,5.0304278e-01
6.2500000e-01,5.0308999e-01
6.3000000e-01,5.0313753e-01
6.3500000e-01,5.0318541e-01
6.4000000e-01,5.0323361e-01
6.4500000e-01,5.0328214e-01
6.5000000e-01,5.0333100e-01
6.5500000e-01,5.0338019e-01
6.6000000e-01,5.0342971e-01
6.6500000e-01,5.0347956e-01
6.7000000e-01,5.0352973e-01
6.7500000e-01,5.0358023e-01
6.8000000e-01,5.0363105e-01
6.8500000e-01,5.0368220e-01
6.9000000e-01,5.0373367e-01
6.9500000e-01,5.0378547e-01
7.0000000e-01,5.0383759e-01
7.0500000e-01,5.0389003e-01
7.1000000e-01,5.0394279e-01
7.1500000e-01,5.0399587e-01
7.2000000e-01,5.0404928e-01
7.2500000e-01,5.0410300e-01
7.3000000e-01,5.0415704e-01
7.3500000e-01,5.0421140e-01
7.4000000e-01,5.0426608e-01
7.4500000e-01,5.0432107e-01
7.5000000e-01,5.0437638e-01
7.5500000e-01,5.0443201e-01
7.6000000e-01,5.0448795e-01
7.6500000e-01,5.0454421e-01
7.7000000e-01,5.0460078e-01
7.7500000e-01,5.0465766e-01
7.8000000e-01,5.0471485e-01
7.8500000e-01,5.0477236e-01
7.9000000e-01,5.0483018e-01
7.9500000e-01,5.0488831e-01
8.0000000e-01,5.0494675e-01
8.0500000e-01,5.0500549e-01
8.1000000e-01,5.0506455e-01
8.1500000e-01,5.0512392e-01
8.2000000e-01,5.0518359e-01
8.2500000e-01,5.0524357e-01
8.3000000e-01,5.0530386e-01
8.3500000e-01,5.0536445e-01
8.4000000e-01,5.0542535e-01
8.4500000e-01,5.0548655e-01
8.5000000e-01,5.0554805e-01
8.5500000e-01,5.0560986e-01
8.6000000e-01,5.0567197e-01
8.6500000e-01,5.0573439e-01
8.7000000e-01,5.0579710e-01
8.7500000e-01,5.0586012e-01
8.8000000e-01,5.0592343e-01
8.8500000e-01,5.0598705e-01
8.9000000e-01,5.0605097e-01
8.9500000e-01,5.0611518e-01
9.0000000e-01,5.0617969e-01
9.0500000e-01,5.0624450e-01
9.1000000e-01,5.0630961e-01
9.1500000e-01,5.0637501e-01
9.2000000e-01,5.0644071e-01
9.2500000e-01,5.0650670e-01
9.3000000e-01,5.0657299e-01
9.3500000e-01,5.0663957e-01
9.4000000e-01,5.0670644e-01
9.4500000e-01,5.0677361e-01
9.5000000e-01,5.0684107e-01
9.5500000e-01,5.0690882e-01
9.6000000e-01,5.0697686e-01
9.6500000e-01,5.0704519e-01
9.7000000e-01,5.0711382e-01
9.7500000e-01,5.0718273e-01
9.8000000e-01,5.0725193e-01
9.8500000e-01,5.0732141e-01
9.9000000e-01,5.0739119e-01
9.9500000e-01,5.0746125e-01
1.0000000e+00,5.0753160e-01
1.0050000e+00,5.0760224e-01
1.0100000e+00,5.0767316e-01
1.0150000e+00,5.0774436e-01
1.0200000e+00,5.0781585e-01
1.0250000e+00,5.0788763e-01
1.0300000e+00,5.0795968e-01
1.0350000e+00,5.0803202e-01
1.0400000e+00,5.0810464e-01
1.0450000e+00,5.0817754e-01
1.0500000e+00,5.0825073e-01
1.0550000e+00,5.0832419e-01
1.0600000e+00,5.0839794e-01
1.0650000e+00,5.0847196e-01
1.0700000e+00,5.0854626e-01
1.0750000e+00,5.0862084e-01
1.0800000e+00,5.0869570e-01
1.0850000e+00,5.0877083e-01
1.0900000e+00,5.0884624e-01
1.0950000e+00,5.0892193e-01
1.1000000e+00,5.0899789e-01
1.1050000e+00,5.0907413e-01
1.1100000e+00,5.0915064e-01
1.1150000e+00,5.0922743e-01
1.1200000e+00,5.0930449e-01
1.1250000e+00,5.0938182e-01
1.1300000e+00,5.0945942e-01
1.1350000e+00,5.0953730e-01
1.1400000e+00,5.0961545e-01
1.1450000e+00,5.0969387e-01
1.1500000e+00,5.0977255e-01
1.1550000e+00,5.0985151e-01
1.1600000e+00,5.0993074e-01
1.1650000e+00,5.1001024e-01
1.1700000e+00,5.1009000e-01
1.1750000e+00,5.1017003e-01
1.1800000e+00,5.1025033e-01
1.1850000e+00,5.1033090e-01
1.1900000e+00,5.1041173e-01
1.1950000e+00,5.1049283e-01
1.2000000e+00,5.1057419e-01
1.2050000e+00,5.1065582e-01
1.2100000e+00,5.1073771e-01
1.2150000e+00,5.1081986e-01
1.2200000e+00,5.1090228e-01
1.2250000e+00,5.1098496e-01
1.2300000e+00,5.1106791e-01
1.2350000e+00,5.1115111e-01
1.2400000e+00,5.1123457e-01
1.2450000e+00,5.1131830e-01
1.2500000e+00,5.1140229e-01
1.2550000e+00,5.1148653e-01
1.2600000e+00,5.1157104e-01
1.2650000e+00,5.1165580e-01
1.2700000e+00,5.1174082e-01
1.2750000e+00,5.1182610e-01
1.2800000e+00,5.1191164e-01
1.2850000e+00,5.1199743e-01
1.2900000e+00,5.1208348e-01
1.2950000e+00,5.1216978e-01
1.3000000e+00,5.1225634e-01
1.3050000e+00,5.1234315e-01
1.3100000e+00,5.1243022e-01
1.3150000e+00,5.1251754e-01
1.3200000e+00,5.1260512e-01
1.3250000e+00,5.1269295e-01
1.3300000e+00,5.1278103e-01
1.3350000e+00,5.1286936e-01
1.3400000e+00,5.1295794e-01
1.3450000e+00,5.1304678e-01
1.3500000e+00,5.1313586e-01
1.3550000e+00,5.1322520e-01
1.3600000e+00,5.1331478e-01
1.3650000e+00,5.1340461e-01
1.3700000e+00,5.1349469e-01
1.3750000e+00,5.1358502e-01
1.3800000e+00,5.1367560e-01
1.3850000e+00,5.1376643e-01
1.3900000e+00,5.1385750e-01
1.3950000e+00,5.1394881e-01
1.4000000e+00,5.1404038e-01
1.4050000e+00,5.1413218e-01
1.4100000e+00,5.1422424e-01
1.4150000e+00,5.1431653e-01
1.4200000e+00,5.1440907e-01
1.4250000e+00,5.1450186e-01
1.4300000e+00,5.1459488e-01
1.4350000e+00,5.1468815e-01
1.4400000e+00,5.1478167e-01
1.4450000e+00,5.1487542e-01
1.4500000e+00,5.1496941e-01
1.4550000e+00,5.1506365e-01
1.4600000e+00,5.1515812e-01
1.4650000e+00,5.1525284e-01
1.4700000e+00,5.1534779e-01
1.4750000e+00,5.1544299e-01
1.4800000e+00,5.1553842e-01
1.4850000e+00,5.1563409e-01
1.4900000e+00,5.1572999e-01
1.4950000e+00,5.1582614e-01
1.5000000e+00,5.1592252e-01
1.5050000e+00,5.1601914e-01
1.5100000e+00,5.1611599e-01
1.5150000e+00,5.1621308e-01
1.5200000e+00,5.1631040e-01
1.5250000e+00,5.1640796e-01
1.5300000e+00,5.1650575e-01
1.5350000e+00,5.1660378e-01
1.5400000e+00,5.1670204e-01
1.5450000e+00,5.1680053e-01
1.5500000e+00,5.1689925e-01
1.5550000e+00,5.1699821e-01
1.5600000e+00,5.1709739e-01
1.5650000e+00,5.1719681e-01
1.5700000e+00,5.1729646e-01
1.5750000e+00,5.1739634e-01
1.5800000e+00,5.1749645e-01
1.5850000e+00,5.1759679e-01
1.5900000e+00,5.1769735e-01
1.5950000e+00,5.1779815e-01
1.6000000e+00,5.1789917e-01
1.6050000e+00,5.1800042e-01
1.6100000e+00,5.1810190e-01
1.6150000e+00,5.1820361e-01
1.6200000e+00,5.1830554e-01
1.6250000e+00,5.1840770e-01
1.6300000e+00,5.1851008e-01
1.6350000e+00,5.1861269e-01
1.6400000e+00,5.1871552e-01
1.6450000e+00,5.1881858e-01
1.6500000e+00,5.1892186e-01
1.6550000e+00,5.1902536e-01
1.6600000e+00,5.1912909e-01
1.6650000e+00,5.1923304e-01
1.6700000e+00,5.1933722e-01
1.6750000e+00,5.1944161e-01
1.6800000e+00,5.1954623e-01
1.6850000e+00,5.1965106e-01
1.6900000e+00,5.1975612e-01
1.6950000e+00,5.1986140e-01
1.7000000e+00,5.1996690e-01
1.7050000e+00,5.2007262e-01
1.7100000e+00,5.2017855e-01
1.7150000e+00,5.2028471e-01
1.7200000e+00,5.2039108e-01
1.7250000e+00,5.2049767e-01
1.7300000e+00,5.2060448e-01
1.7350000e+00,5.2071151e-01
1.7400000e+00,5.2081875e-01
1.7450000e+00,5.2092621e-01
1.7500000e+00,5.2103389e-01
1.7550000e+00,5.2114178e-01
1.7600000e+00,5.2124988e-01
1.7650000e+00,5.2135820e-01
1.7700000e+00,5.2146674e-01
1.7750000e+00,5.2157549e-01
1.7800000e+00,5.2168445e-01
1.7850000e+00,5.2179362e-01
1.7900000e+00,5.2190301e-01
1.7950000e+00,5.2201261e-01
1.8000000e+00,5.2212243e-01
1.8050000e+00,5.2223245e-01
1.8100000e+00,5.2234269e-01
1.8150000e+00,5.2245313e-01
1.8200000e+00,5.2256379e-01
1.8250000e+00,5.2267466e-01
1.8300000e+00,5.2278573e-01
1.8350000e+00,5.2289702e-01
1.8400000e+00,5.2300852e-01
1.8450000e+00,5.2312022e-01
1.8500000e+00,5.2323213e-01
1.8550000e+00,5.2334425e-01
1.8600000e+00,5.2345658e-01
1.8650000e+00,5.2356911e-01
1.8700000e+00,5.2368186e-01
1.8750000e+00,5.2379480e-01
1.8800000e+00,5.2390796e-01
1.8850000e+00,5.2402132e-01
1.8900000e+00,5.2413488e-01
1.8950000e+00,5.2424865e-01
1.9000000e+00,5.2436263e-01
1.9050000e+00,5.2447681e-01
1.9100000e+00,5.2459119e-01
1.9150000e+00,5.2470577e-01
1.9200000e+00,5.2482056e-01
1.9250000e+00,5.2493556e-01
1.9300000e+00,5.2505075e-01
1.9350000e+00,5.2516615e-01
1.9400000e+00,5.2528174e-01
1.9450000e+00,5.2539754e-01
1.9500000e+00,5.2551354e-01
1.9550000e+00,5.2562974e-01
1.9600000e+00,5.2574615e-01
1.9650000e+00,5.2586275e-01
1.9700000e+00,5.2597955e-01
1.9750000e+00,5.2609655e-01
1.9800000e+00,5.2621375e-01
1.9850000e+00,5.2633114e-01
1.9900000e+00,5.2644874e-01
1.9950000e+00,5.2656653e-01
2.0000000e+00,5.2668452e-01
2.0050000e+00,5.2680271e-01
2.0100000e+00,5.2692109e-01
2.0150000e+00,5.2703967e-01
2.0200000e+00,5.2715845e-01
2.0250000e+00,5.2727742e-01
2.0300000e+00,5.2739659e-01
2.0350000e+00,5.2751595e-01
2.0400000e+00,5.2763551e-01
2.0450000e+00,5.2775526e-01
2.0500000e+00,5.2787521e-01
2.0550000e+00,5.2799535e-01
2.0600000e+00,5.2811568e-01
2.0650000e+00,5.2823620e-01
2.0700000e+00,5.2835692e-01
2.0750000e+00,5.2847783e-01
2.0800000e+00,5.2859894e-01
2.0850000e+00,5.2872023e-01
2.0900000e+00,5.2884171e-01
2.0950000e+00,5.2896339e-01
2.1000000e+00,5.2908526e-01
2.1050000e+00,5.2920732e-01
2.1100000e+00,5.2932956e-01
2.1150000e+00,5.2945200e-01
2.1200000e+00,5.2957463e-01
2.1250000e+00,5.2969744e-01
2.1300000e+00,5.2982044e-01
2.1350000e+00,5.2994364e-01
2.1400000e+00,5.3006702e-01
2.1450000e+00,5.3019058e-01
2.1500000e+00,5.3031434e-01
2.1550000e+00,5.3043828e-01
2.1600000e+00,5.3056241e-01
2.1650000e+00,5.3068673e-01
2.1700000e+00,5.3081123e-01
2.1750000e+00,5.3093591e-01
2.1800000e+00,5.3106079e-01
2.1850000e+00,5.3118584e-01
2.1900000e+00,5.3131109e-01
2.1950000e+00,5.3143651e-01
2.2000000e+00,5.3156212e-01
2.2050000e+00,5.3168792e-01
2.2100000e+00,5.3181389e-01
2.2150000e+00,5.3194006e-01
2.2200000e+00,5.3206640e-01
2.2250000e+00,5.3219293e-01
2.2300000e+00,5.3231963e-01
2.2350000e+00,5.3244653e-01
2.2400000e+00,5.3257360e-01
2.2450000e+00,5.3270085e-01
2.2500000e+00,5.3282829e-01
2.2550000e+00,5.3295590e-01
2.2600000e+00,5.3308370e-01
2.2650000e+00,5.3321167e-01
2.2700000e+00,5.3333983e-01
2.2750000e+00,5.3346816e-01
2.2800000e+00,5.3359668e-01
2.2850000e+00,5.3372537e-01
2.2900000e+00,5.3385424e-01
2.2950000e+00,5.3398329e-01
2.3000000e+00,5.3411252e-01
2.3050000e+00,5.3424192e-01
2.3100000e+00,5.3437150e-01
2.3150000e+00,5.3450126e-01
2.3200000e+00,5.3463120e-01
2.3250000e+00,5.3476131e-01
2.3300000e+00,5.3489160e-01
2.3350000e+00,5.3502206e-01
2.3400000e+00,5.3515270e-01
2.3450000e+00,5.3528352e-01
2.3500000e+00,5.3541451e-01
2.3550000e+00,5.3554567e-01
2.3600000e+00,5.3567701e-01
2.3650000e+00,5.3580852e-01
2.3700000e+00,5.3594021e-01
2.3750000e+00,5.3607207e-01
2.3800000e+00,5.3620410e-01
2.3850000e+00,5.3633631e-01
2.3900000e+00,5.3646868e-01
2.3950000e+00,5.3660123e-01
2.4000000e+00,5.3673396e-01
2.4050000e+00,5.3686685e-01
2.4100000e+00,5.3699992e-01
2.4150000e+00,5.3713315e-01
2.4200000e+00,5.3726656e-01
2.4250000e+00,5.3740014e-01
2.4300000e+00,5.3753389e-01
2.4350000e+00,5.3766780e-01
2.4400000e+00,5.3780189e-01
2.4450000e+00,5.3793615e-01
2.4500000e+00,5.3807058e-01
2.4550000e+00,5.3820517e-01
2.4600000e+00,5.3833993e-01
2.4650000e+00,5.3847487e-01
2.4700000e+00,5.3860997e-01
2.4750000e+00,5.3874523e-01
2.4800000e+00,5.3888067e-01
