distance,flux0,varflux0,flux1,varflux1
0.005000,0.995790,0.000672,0.927818,0.006287
0.015000,0.995540,0.000711,0.866215,0.004672
0.025000,0.995116,0.000737,0.794156,0.003881
0.035000,0.994442,0.000838,0.726136,0.003540
0.045000,0.993690,0.000911,0.665333,0.003460
0.055000,0.992714,0.001062,0.609713,0.003753
0.065000,0.991668,0.001240,0.560557,0.004109
0.075000,0.990509,0.001433,0.515363,0.004766
0.085000,0.989179,0.001754,0.474834,0.005699
0.095000,0.987870,0.002009,0.438080,0.006841
0.105000,0.982980,0.002322,0.404928,0.008043
0.115000,0.981877,0.002670,0.374749,0.009335
0.125000,0.980715,0.003073,0.347640,0.010625
0.135000,0.979488,0.003496,0.322836,0.011944
0.145000,0.978189,0.003975,0.300427,0.013117
0.155000,0.976915,0.004444,0.280229,0.014652
0.165000,0.975622,0.004898,0.261899,0.015848
0.175000,0.974168,0.005495,0.245097,0.017071
0.185000,0.972803,0.005990,0.229911,0.018138
0.195000,0.971300,0.006616,0.216366,0.019324
0.205000,0.966338,0.007093,0.203967,0.020449
0.215000,0.965071,0.007649,0.192913,0.021592
0.225000,0.963745,0.008248,0.182725,0.022557
0.235000,0.962374,0.008870,0.173529,0.023453
0.245000,0.960981,0.009499,0.165414,0.024406
0.255000,0.959551,0.010169,0.158254,0.025528
0.265000,0.958068,0.010874,0.151771,0.026468
0.275000,0.956685,0.011480,0.145462,0.027071
0.285000,0.955214,0.012155,0.139727,0.027589
0.295000,0.953761,0.012807,0.134566,0.028082
0.305000,0.948850,0.013286,0.129914,0.028594
0.315000,0.947375,0.014038,0.125571,0.028886
0.325000,0.945990,0.014716,0.121778,0.029358
0.335000,0.944574,0.015408,0.118223,0.029645
0.345000,0.943219,0.016043,0.114967,0.029895
0.355000,0.941772,0.016751,0.111789,0.029983
0.365000,0.940321,0.017441,0.108887,0.030029
0.375000,0.938890,0.018120,0.106377,0.030275
0.385000,0.937403,0.018827,0.104359,0.030586
0.395000,0.935984,0.019475,0.102513,0.030886
0.405000,0.930999,0.020000,0.101334,0.031567
0.415000,0.929633,0.020668,0.099897,0.031824
0.425000,0.928290,0.021305,0.098166,0.031800
0.435000,0.926838,0.022023,0.096754,0.031823
0.445000,0.925423,0.022699,0.095690,0.031997
0.455000,0.924026,0.023361,0.094736,0.032265
0.465000,0.922624,0.024018,0.093522,0.032159
0.475000,0.921214,0.024680,0.092700,0.032349
0.485000,0.919718,0.025399,0.091608,0.032213
0.495000,0.918377,0.025992,0.090472,0.032042
0.505000,0.913456,0.026417,0.089633,0.031884
0.515000,0.912082,0.027078,0.089250,0.032123
0.525000,0.910746,0.027710,0.088609,0.032202
0.535000,0.909370,0.028345,0.087703,0.031850
0.545000,0.907998,0.028987,0.086908,0.031749
0.555000,0.906562,0.029663,0.086320,0.031665
0.565000,0.905175,0.030303,0.086159,0.031857
0.575000,0.903847,0.030896,0.085420,0.031672
0.585000,0.902425,0.031543,0.084591,0.031352
0.595000,0.901018,0.032172,0.084428,0.031459
0.605000,0.896193,0.032504,0.084337,0.031652
0.615000,0.894822,0.033133,0.084134,0.031692
0.625000,0.893503,0.033736,0.083983,0.031805
0.635000,0.892133,0.034368,0.083350,0.031536
0.645000,0.890730,0.035002,0.082986,0.031287
0.655000,0.889327,0.035644,0.082998,0.031458
0.665000,0.887973,0.036242,0.082751,0.031452
0.675000,0.886680,0.036784,0.082419,0.031314
0.685000,0.885318,0.037391,0.082091,0.031211
0.695000,0.883942,0.037992,0.081807,0.031054
0.705000,0.879168,0.038237,0.081555,0.030977
0.715000,0.877870,0.038802,0.081162,0.030854
0.725000,0.876552,0.039385,0.080480,0.030503
0.735000,0.875197,0.039972,0.080114,0.030250
0.745000,0.873867,0.040544,0.079977,0.030240
0.755000,0.872502,0.041153,0.079864,0.030301
0.765000,0.871177,0.041710,0.079615,0.030160
0.775000,0.869867,0.042256,0.078980,0.029845
0.785000,0.868529,0.042817,0.078767,0.029793
0.795000,0.867142,0.043414,0.078611,0.029788
0.805000,0.862388,0.043616,0.078459,0.029774
0.815000,0.861109,0.044137,0.078584,0.029888
0.825000,0.859857,0.044658,0.078542,0.029989
0.835000,0.858512,0.045213,0.078554,0.029874
0.845000,0.857191,0.045778,0.078774,0.030150
0.855000,0.855868,0.046337,0.078353,0.029924
0.865000,0.854515,0.046903,0.078277,0.029814
0.875000,0.853207,0.047440,0.078148,0.029779
0.885000,0.851923,0.047940,0.077905,0.029585
0.895000,0.850606,0.048467,0.078067,0.029731
0.905000,0.845970,0.048552,0.077970,0.029698
0.915000,0.844686,0.049074,0.077759,0.029544
0.925000,0.843488,0.049523,0.077453,0.029290
0.935000,0.842212,0.050038,0.077303,0.029230
0.945000,0.840892,0.050571,0.077303,0.029155
0.955000,0.839655,0.051057,0.077315,0.029245
0.965000,0.838378,0.051559,0.077099,0.029075
0.975000,0.837073,0.052073,0.077034,0.029029
0.985000,0.835766,0.052591,0.076897,0.028932
0.995000,0.834480,0.053091,0.076831,0.028970
1.005000,0.829901,0.053097,0.076310,0.028600
1.015000,0.828686,0.053555,0.076059,0.028417
1.025000,0.827413,0.054055,0.075856,0.028328
1.035000,0.826197,0.054502,0.075723,0.028247
1.045000,0.824944,0.054982,0.075724,0.028324
1.055000,0.823685,0.055463,0.075370,0.028141
1.065000,0.822397,0.055954,0.075297,0.028079
1.075000,0.821150,0.056417,0.075299,0.028154
1.085000,0.819946,0.056849,0.075180,0.028092
1.095000,0.818690,0.057325,0.074837,0.027907
1.105000,0.814147,0.057265,0.074617,0.027682
1.115000,0.812953,0.057696,0.074389,0.027558
1.125000,0.811687,0.058178,0.074618,0.027731
1.135000,0.810469,0.058619,0.074334,0.027529
1.145000,0.809257,0.059062,0.074447,0.027705
1.155000,0.808061,0.059479,0.074239,0.027582
1.165000,0.806776,0.059964,0.073966,0.027416
1.175000,0.805530,0.060411,0.073890,0.027330
1.185000,0.804323,0.060839,0.073870,0.027371
1.195000,0.803116,0.061266,0.073532,0.027214
1.205000,0.798637,0.061141,0.072956,0.026757
1.215000,0.797434,0.061558,0.072669,0.026584
1.225000,0.796252,0.061973,0.072736,0.026762
1.235000,0.795024,0.062413,0.072359,0.026572
1.245000,0.793811,0.062829,0.072024,0.026322
1.255000,0.792596,0.063262,0.072254,0.026546
1.265000,0.791405,0.063675,0.072014,0.026410
1.275000,0.790188,0.064090,0.071903,0.026281
1.285000,0.788989,0.064501,0.071708,0.026267
1.295000,0.787793,0.064896,0.071413,0.026058
1.305000,0.783413,0.064691,0.071409,0.026120
1.315000,0.782243,0.065080,0.071372,0.026138
1.325000,0.781016,0.065509,0.071373,0.026130
1.335000,0.779880,0.065882,0.071142,0.026043
1.345000,0.778699,0.066272,0.070589,0.025589
1.355000,0.777501,0.066674,0.070586,0.025609
1.365000,0.776359,0.067044,0.070626,0.025723
1.375000,0.775197,0.067414,0.070770,0.025782
1.385000,0.773979,0.067821,0.070892,0.025876
1.395000,0.772841,0.068199,0.070907,0.025971
1.405000,0.768374,0.068019,0.070584,0.025637
1.415000,0.767217,0.068393,0.070595,0.025679
1.425000,0.766084,0.068745,0.070195,0.025387
1.435000,0.764950,0.069104,0.070132,0.025386
1.445000,0.763816,0.069456,0.070052,0.025347
1.455000,0.762643,0.069832,0.070271,0.025487
1.465000,0.761566,0.070155,0.069986,0.025338
1.475000,0.760374,0.070540,0.069666,0.025098
1.485000,0.759194,0.070910,0.069376,0.024875
1.495000,0.758022,0.071287,0.069076,0.024792
1.505000,0.753689,0.070998,0.068936,0.024665
1.515000,0.752592,0.071327,0.068903,0.024687
1.525000,0.751431,0.071691,0.068903,0.024714
1.535000,0.750291,0.072042,0.068909,0.024710
1.545000,0.749197,0.072363,0.068946,0.024756
1.555000,0.748096,0.072691,0.068903,0.024749
1.565000,0.746936,0.073049,0.068706,0.024575
1.575000,0.745826,0.073366,0.068514,0.024444
1.585000,0.744723,0.073690,0.068479,0.024486
1.595000,0.743611,0.074014,0.068209,0.024338
1.605000,0.739340,0.073663,0.068059,0.024179
1.615000,0.738207,0.073999,0.068189,0.024339
1.625000,0.737117,0.074314,0.067966,0.024263
1.635000,0.736039,0.074624,0.067565,0.024038
1.645000,0.734947,0.074932,0.067228,0.023805
1.655000,0.733816,0.075257,0.067107,0.023713
1.665000,0.732706,0.075580,0.067038,0.023734
1.675000,0.731590,0.075895,0.066932,0.023631
1.685000,0.730506,0.076199,0.066961,0.023678
1.695000,0.729382,0.076520,0.066996,0.023722
1.705000,0.725128,0.076153,0.066844,0.023622
1.715000,0.724045,0.076451,0.066942,0.023683
1.725000,0.722954,0.076760,0.066868,0.023676
1.735000,0.721871,0.077052,0.066706,0.023518
