distance,flux0,varflux0,flux1,varflux1
0.005000,0.994264,0.001971,0.904171,0.011928
0.015000,0.993904,0.001959,0.850529,0.008096
0.025000,0.993044,0.002081,0.786875,0.006228
0.035000,0.991895,0.002292,0.725167,0.005049
0.045000,0.990627,0.002449,0.666828,0.005046
0.055000,0.989092,0.002780,0.614017,0.005225
0.065000,0.987402,0.003187,0.565448,0.005829
0.075000,0.985689,0.003586,0.521256,0.006676
0.085000,0.983557,0.004294,0.480712,0.007806
0.095000,0.981503,0.004950,0.444643,0.009094
0.105000,0.976371,0.005595,0.405822,0.010130
0.115000,0.974606,0.006213,0.377387,0.011208
0.125000,0.972441,0.007196,0.351034,0.012323
0.135000,0.970397,0.008065,0.327100,0.013535
0.145000,0.968281,0.009008,0.305329,0.014790
0.155000,0.966055,0.010059,0.285564,0.016146
0.165000,0.963919,0.011046,0.267409,0.017449
0.175000,0.961623,0.012142,0.250897,0.018584
0.185000,0.959272,0.013313,0.236007,0.019833
0.195000,0.957022,0.014407,0.222320,0.020943
0.205000,0.951736,0.015331,0.207153,0.022017
0.215000,0.949369,0.016613,0.196109,0.022901
0.225000,0.947077,0.017839,0.186131,0.023899
0.235000,0.944744,0.019087,0.176815,0.024579
0.245000,0.942503,0.020284,0.168282,0.025261
0.255000,0.940182,0.021540,0.160309,0.025705
0.265000,0.937871,0.022795,0.153271,0.026277
0.275000,0.935574,0.024038,0.146860,0.026837
0.285000,0.933228,0.025304,0.141040,0.027394
0.295000,0.930913,0.026536,0.135562,0.027742
0.305000,0.925522,0.027566,0.129465,0.028228
0.315000,0.923271,0.028806,0.124965,0.028483
0.325000,0.920977,0.030092,0.120558,0.028615
0.335000,0.918733,0.031310,0.116521,0.028654
0.345000,0.916419,0.032579,0.112741,0.028686
0.355000,0.914170,0.033796,0.109327,0.028775
0.365000,0.911902,0.035020,0.106356,0.028949
0.375000,0.909742,0.036171,0.103476,0.029008
0.385000,0.907478,0.037388,0.100523,0.028806
0.395000,0.905216,0.038576,0.097923,0.028672
0.405000,0.899989,0.039420,0.095522,0.028992
0.415000,0.897709,0.040656,0.093640,0.029051
0.425000,0.895551,0.041809,0.091960,0.029218
0.435000,0.893479,0.042877,0.090242,0.029189
0.445000,0.891246,0.044063,0.088556,0.029124
0.455000,0.889080,0.045199,0.086977,0.029064
0.465000,0.886981,0.046257,0.085672,0.029048
0.475000,0.884700,0.047485,0.084594,0.029156
0.485000,0.882425,0.048671,0.083662,0.029244
0.495000,0.880372,0.049697,0.082392,0.029093
0.505000,0.875246,0.050334,0.081242,0.029019
0.515000,0.873190,0.051387,0.080194,0.028952
0.525000,0.871068,0.052451,0.079069,0.028707
0.535000,0.869001,0.053460,0.078151,0.028493
0.545000,0.866984,0.054459,0.077445,0.028547
0.555000,0.864822,0.055553,0.076709,0.028498
0.565000,0.862734,0.056564,0.076098,0.028451
0.575000,0.860814,0.057471,0.075233,0.028280
