distance,flux0,varflux0,flux1,varflux1
0.005000,1.479790,0.009659,1.422605,0.006822
0.015000,1.479449,0.009766,1.410865,0.005583
0.025000,1.479024,0.009772,1.390945,0.004286
0.035000,1.478297,0.009904,1.365309,0.003640
0.045000,1.477768,0.009718,1.336226,0.003315
0.055000,1.476867,0.009902,1.305034,0.003380
0.065000,1.475740,0.010157,1.272313,0.004127
0.075000,1.474838,0.010139,1.239442,0.004775
0.085000,1.473683,0.010365,1.206331,0.005697
0.095000,1.472451,0.010558,1.173487,0.006695
0.105000,1.470119,0.011401,1.100159,0.005446
0.115000,1.468931,0.011660,1.076631,0.004647
0.125000,1.467631,0.011984,1.052929,0.004057
0.135000,1.466164,0.012511,1.029077,0.003874
0.145000,1.464792,0.012894,1.005411,0.003879
0.155000,1.463463,0.013221,0.981988,0.004148
0.165000,1.461655,0.014074,0.958590,0.004628
0.175000,1.460133,0.014595,0.935691,0.005301
0.185000,1.458478,0.015234,0.912866,0.006113
0.195000,1.456999,0.015668,0.890618,0.007032
0.205000,1.454012,0.017117,0.836042,0.007426
0.215000,1.452380,0.017817,0.817836,0.007240
0.225000,1.450551,0.018657,0.799601,0.007276
0.235000,1.448725,0.019596,0.781802,0.007517
0.245000,1.446845,0.020567,0.764215,0.007923
0.255000,1.445090,0.021405,0.747000,0.008368
0.265000,1.443119,0.022462,0.729938,0.008953
0.275000,1.441096,0.023643,0.713227,0.009658
0.285000,1.439093,0.024741,0.696840,0.010471
0.295000,1.437054,0.025875,0.680744,0.011357
0.305000,1.433887,0.027621,0.640402,0.012605
0.315000,1.431910,0.028775,0.626704,0.012896
0.325000,1.429619,0.030269,0.613105,0.013205
0.335000,1.427617,0.031431,0.599955,0.013643
0.345000,1.425289,0.033066,0.587007,0.014257
0.355000,1.423160,0.034368,0.574332,0.014869
0.365000,1.421000,0.035821,0.561847,0.015552
0.375000,1.418646,0.037449,0.549624,0.016124
0.385000,1.416207,0.039157,0.537698,0.016810
0.395000,1.413799,0.040829,0.526061,0.017645
0.405000,1.410582,0.042660,0.496033,0.019279
0.415000,1.408302,0.044253,0.485776,0.019731
0.425000,1.406119,0.045809,0.475742,0.020165
0.435000,1.403631,0.047624,0.465896,0.020596
0.445000,1.401234,0.049438,0.456226,0.021113
0.455000,1.398901,0.051114,0.446869,0.021650
0.465000,1.396498,0.052895,0.437641,0.022232
0.475000,1.394105,0.054701,0.428625,0.022810
0.485000,1.391679,0.056547,0.419930,0.023451
0.495000,1.389144,0.058486,0.411305,0.024068
0.505000,1.385758,0.060606,0.388783,0.025600
0.515000,1.383355,0.062414,0.381111,0.025910
0.525000,1.380738,0.064515,0.373721,0.026446
0.535000,1.378414,0.066262,0.366486,0.026942
0.545000,1.375778,0.068397,0.359433,0.027443
0.555000,1.373262,0.070367,0.352588,0.028039
0.565000,1.370820,0.072284,0.345862,0.028687
0.575000,1.368162,0.074426,0.339359,0.029269
0.585000,1.365670,0.076411,0.332971,0.029837
0.595000,1.363167,0.078375,0.326706,0.030367
0.605000,1.359584,0.080742,0.310024,0.031866
0.615000,1.357066,0.082769,0.304436,0.032308
0.625000,1.354680,0.084674,0.298853,0.032688
0.635000,1.351908,0.086973,0.293500,0.033080
0.645000,1.349422,0.088999,0.288322,0.033540
0.655000,1.346826,0.091104,0.283228,0.033930
0.665000,1.344377,0.093047,0.278235,0.034416
0.675000,1.341707,0.095305,0.273432,0.034850
0.685000,1.339217,0.097324,0.268636,0.035174
0.695000,1.336544,0.099542,0.263965,0.035536
0.705000,1.332921,0.101901,0.251379,0.036694
0.715000,1.330390,0.103971,0.247197,0.037017
0.725000,1.327774,0.106160,0.243102,0.037365
0.735000,1.325073,0.108413,0.239067,0.037656
0.745000,1.322340,0.110669,0.235279,0.038037
0.755000,1.319776,0.112761,0.231504,0.038379
0.765000,1.317071,0.115024,0.227854,0.038730
0.775000,1.314421,0.117208,0.224218,0.039011
0.785000,1.311835,0.119321,0.220709,0.039298
0.795000,1.309239,0.121403,0.217280,0.039587
0.805000,1.305654,0.123715,0.207985,0.040671
0.815000,1.303197,0.125735,0.204706,0.040777
0.825000,1.300434,0.128034,0.201567,0.040884
0.835000,1.297619,0.130386,0.198599,0.041122
0.845000,1.295193,0.132321,0.195764,0.041384
0.855000,1.292519,0.134516,0.192877,0.041556
0.865000,1.289843,0.136692,0.190086,0.041766
0.875000,1.287322,0.138711,0.187369,0.041941
0.885000,1.284724,0.140804,0.184723,0.042142
0.895000,1.281967,0.143079,0.182261,0.042442
0.905000,1.278294,0.145360,0.175344,0.043300
0.915000,1.275651,0.147511,0.173049,0.043529
0.925000,1.273068,0.149575,0.170836,0.043764
0.935000,1.270401,0.151749,0.168627,0.043987
0.945000,1.267707,0.153921,0.166511,0.044145
0.955000,1.265065,0.156089,0.164376,0.044276
0.965000,1.262491,0.158106,0.162236,0.044304
0.975000,1.259827,0.160250,0.160223,0.044443
0.985000,1.257239,0.162307,0.158246,0.044585
0.995000,1.254596,0.164374,0.156325,0.044669
1.005000,1.251051,0.166480,0.151150,0.045360
1.015000,1.248505,0.168467,0.149463,0.045527
1.025000,1.245913,0.170458,0.147771,0.045644
1.035000,1.243360,0.172461,0.146119,0.045823
1.045000,1.240721,0.174498,0.144397,0.045807
1.055000,1.237988,0.176626,0.142933,0.046055
1.065000,1.235458,0.178559,0.141364,0.046134
1.075000,1.232910,0.180518,0.139857,0.046227
1.085000,1.230270,0.182536,0.138386,0.046244
1.095000,1.227595,0.184601,0.136930,0.046309
1.105000,1.224122,0.186526,0.132928,0.046677
1.115000,1.221461,0.188574,0.131609,0.046746
1.125000,1.218770,0.190590,0.130368,0.046855
1.135000,1.216194,0.192558,0.129052,0.046880
1.145000,1.213499,0.194616,0.127770,0.046883
1.155000,1.210895,0.196553,0.126490,0.046797
1.165000,1.208328,0.198438,0.125344,0.046838
1.175000,1.205720,0.200357,0.124226,0.046918
1.185000,1.203177,0.202253,0.123214,0.047092
1.195000,1.200750,0.204004,0.122141,0.047139
1.205000,1.197310,0.205787,0.119086,0.047378
1.215000,1.194729,0.207609,0.118097,0.047395
1.225000,1.192014,0.209618,0.117176,0.047505
1.235000,1.189512,0.211429,0.116195,0.047523
1.245000,1.186829,0.213380,0.115245,0.047524
1.255000,1.184485,0.215015,0.114276,0.047493
1.265000,1.181727,0.216996,0.113333,0.047422
1.275000,1.179238,0.218714,0.112457,0.047413
1.285000,1.176610,0.220567,0.111657,0.047504
1.295000,1.173944,0.222445,0.110872,0.047544
1.305000,1.170456,0.224176,0.108565,0.047726
1.315000,1.168046,0.225834,0.107618,0.047537
1.325000,1.165502,0.227514,0.106837,0.047455
