distance,flux0,varflux0,flux1,varflux1
0.005000,1.479356,0.009713,1.422789,0.006796
0.015000,1.479064,0.009771,1.410965,0.005666
0.025000,1.478466,0.009957,1.390866,0.004446
0.035000,1.477929,0.009967,1.365443,0.003491
0.045000,1.477399,0.009732,1.336296,0.003266
0.055000,1.476223,0.010195,1.304815,0.003543
0.065000,1.475342,0.010142,1.272291,0.004032
0.075000,1.474269,0.010334,1.239347,0.004881
0.085000,1.473183,0.010454,1.206429,0.005616
0.095000,1.471990,0.010706,1.173802,0.006554
0.105000,1.469654,0.011479,1.100077,0.005505
0.115000,1.468421,0.011777,1.076569,0.004675
0.125000,1.467070,0.012123,1.052749,0.004158
0.135000,1.465776,0.012489,1.029161,0.003841
0.145000,1.464417,0.012846,1.005542,0.003854
0.155000,1.462883,0.013447,0.981951,0.004191
0.165000,1.461269,0.014010,0.958534,0.004732
0.175000,1.459743,0.014527,0.935578,0.005392
0.185000,1.458047,0.015272,0.913030,0.006164
0.195000,1.456333,0.015944,0.890750,0.007088
0.205000,1.453509,0.017223,0.836288,0.007536
0.215000,1.451713,0.017997,0.817925,0.007379
0.225000,1.449917,0.018849,0.799927,0.007442
0.235000,1.448048,0.019806,0.782103,0.007717
0.245000,1.446325,0.020617,0.764568,0.008145
0.255000,1.444356,0.021667,0.747274,0.008648
0.265000,1.442307,0.022758,0.730276,0.009205
0.275000,1.440396,0.023776,0.713645,0.009928
0.285000,1.438462,0.024820,0.697289,0.010693
0.295000,1.436346,0.026103,0.681390,0.011579
0.305000,1.433302,0.027659,0.640822,0.012791
0.315000,1.431119,0.029024,0.627031,0.013038
0.325000,1.429168,0.030175,0.613561,0.013422
0.335000,1.426957,0.031589,0.600175,0.013812
0.345000,1.424840,0.032928,0.587200,0.014330
0.355000,1.422252,0.034795,0.574440,0.014871
0.365000,1.420112,0.036088,0.562138,0.015533
0.375000,1.417909,0.037636,0.550050,0.016320
0.385000,1.415679,0.039074,0.538130,0.017073
0.395000,1.413320,0.040732,0.526609,0.017913
0.405000,1.409886,0.042777,0.496464,0.019592
0.415000,1.407586,0.044414,0.486189,0.019997
0.425000,1.405178,0.046161,0.476188,0.020468
0.435000,1.402826,0.047883,0.466447,0.020983
0.445000,1.400428,0.049667,0.456882,0.021530
0.455000,1.398109,0.051340,0.447521,0.022042
0.465000,1.395677,0.053161,0.438209,0.022556
0.475000,1.393178,0.055057,0.429300,0.023180
0.485000,1.390807,0.056772,0.420530,0.023824
0.495000,1.388419,0.058639,0.412131,0.024545
0.505000,1.384984,0.060762,0.389618,0.026092
0.515000,1.382491,0.062659,0.381984,0.026491
0.525000,1.380097,0.064563,0.374556,0.027042
0.535000,1.377644,0.066426,0.367376,0.027545
0.545000,1.375140,0.068368,0.360298,0.028036
0.555000,1.372649,0.070340,0.353497,0.028636
0.565000,1.370105,0.072423,0.346737,0.029202
