distance,flux0,varflux0,flux1,varflux1
0.005000,0.994312,0.000041,0.920209,0.000409
0.015000,0.994865,0.000000,0.861611,0.000000
0.025000,0.994133,0.000000,0.793496,0.000001
0.035000,0.993362,0.000000,0.727148,0.000000
0.045000,0.992227,0.000000,0.666273,0.000000
0.055000,0.991135,0.000000,0.611157,0.000000
0.065000,0.989764,0.000000,0.561091,0.000000
0.075000,0.988271,0.000000,0.516296,0.000000
0.085000,0.986726,0.000000,0.475397,0.000001
0.095000,0.985080,0.000000,0.438598,0.000001
0.105000,0.979973,0.000000,0.404451,0.000001
0.115000,0.978356,0.000000,0.374541,0.000001
0.125000,0.976843,0.000000,0.347298,0.000002
0.135000,0.975201,0.000000,0.322851,0.000002
0.145000,0.973499,0.000001,0.300048,0.000003
0.155000,0.971829,0.000001,0.279809,0.000004
0.165000,0.970006,0.000001,0.261482,0.000004
0.175000,0.968067,0.000001,0.244692,0.000004
0.185000,0.966483,0.000001,0.229371,0.000005
0.195000,0.964555,0.000001,0.215241,0.000005
0.205000,0.959184,0.000001,0.202530,0.000006
0.215000,0.957298,0.000001,0.191011,0.000007
0.225000,0.955739,0.000002,0.180576,0.000007
0.235000,0.953913,0.000002,0.170928,0.000008
0.245000,0.952088,0.000002,0.162384,0.000008
0.255000,0.950187,0.000002,0.154401,0.000009
0.265000,0.948337,0.000002,0.147574,0.000010
0.275000,0.946587,0.000003,0.140905,0.000011
0.285000,0.944695,0.000003,0.134773,0.000012
0.295000,0.942759,0.000003,0.129537,0.000011
0.305000,0.937540,0.000003,0.124278,0.000012
0.315000,0.935915,0.000004,0.119284,0.000012
0.325000,0.934099,0.000004,0.115082,0.000012
0.335000,0.932206,0.000004,0.111040,0.000012
0.345000,0.930306,0.000004,0.107732,0.000012
0.355000,0.928562,0.000005,0.104501,0.000011
0.365000,0.926731,0.000005,0.101218,0.000011
0.375000,0.924942,0.000006,0.098470,0.000010
0.385000,0.923040,0.000006,0.096268,0.000011
0.395000,0.921263,0.000007,0.094088,0.000010
0.405000,0.916053,0.000006,0.092434,0.000010
0.415000,0.914270,0.000007,0.090776,0.000010
0.425000,0.912607,0.000008,0.089088,0.000010
0.435000,0.910787,0.000008,0.087809,0.000010
0.445000,0.909030,0.000008,0.086552,0.000010
0.455000,0.907344,0.000009,0.085186,0.000012
0.465000,0.905609,0.000010,0.083935,0.000011
0.475000,0.903897,0.000010,0.082856,0.000012
0.485000,0.902069,0.000010,0.082104,0.000013
0.495000,0.900356,0.000011,0.080907,0.000013
0.505000,0.895218,0.000011,0.079780,0.000013
0.515000,0.893537,0.000011,0.078933,0.000012
0.525000,0.891826,0.000011,0.077769,0.000013
0.535000,0.890125,0.000012,0.076879,0.000013
0.545000,0.888467,0.000012,0.076191,0.000013
0.555000,0.886766,0.000013,0.075442,0.000014
0.565000,0.885087,0.000013,0.074970,0.000014
0.575000,0.883415,0.000014,0.074212,0.000013
0.585000,0.881586,0.000014,0.073611,0.000012
0.595000,0.880036,0.000015,0.073293,0.000012
0.605000,0.875022,0.000015,0.072542,0.000012
0.615000,0.873315,0.000015,0.072131,0.000013
0.625000,0.871630,0.000016,0.071601,0.000012
0.635000,0.870021,0.000016,0.071005,0.000011
0.645000,0.868376,0.000018,0.070297,0.000011
0.655000,0.866715,0.000018,0.069755,0.000011
0.665000,0.865099,0.000020,0.069423,0.000011
0.675000,0.863627,0.000020,0.068999,0.000011
0.685000,0.861965,0.000020,0.068183,0.000011
0.695000,0.860468,0.000021,0.067418,0.000011
0.705000,0.855448,0.000020,0.067003,0.000010
0.715000,0.854025,0.000022,0.066158,0.000010
0.725000,0.852362,0.000021,0.065628,0.000010
0.735000,0.850854,0.000023,0.065325,0.000010
0.745000,0.849223,0.000023,0.064924,0.000011
0.755000,0.847742,0.000023,0.064856,0.000011
0.765000,0.846208,0.000024,0.064720,0.000010
0.775000,0.844596,0.000025,0.064429,0.000010
0.785000,0.843169,0.000027,0.064100,0.000010
0.795000,0.841576,0.000026,0.063860,0.000011
0.805000,0.836666,0.000025,0.063933,0.000010
0.815000,0.835198,0.000026,0.063732,0.000010
0.825000,0.833807,0.000027,0.063133,0.000010
0.835000,0.832178,0.000027,0.063084,0.000010
0.845000,0.830861,0.000028,0.062928,0.000009
0.855000,0.829419,0.000030,0.062467,0.000009
0.865000,0.827954,0.000030,0.062221,0.000009
0.875000,0.826535,0.000031,0.062134,0.000009
0.885000,0.825080,0.000032,0.061588,0.000009
0.895000,0.823701,0.000033,0.061403,0.000009
0.905000,0.818891,0.000032,0.061356,0.000010
0.915000,0.817420,0.000033,0.061158,0.000009
0.925000,0.815948,0.000034,0.060775,0.000009
0.935000,0.814488,0.000034,0.060288,0.000009
0.945000,0.813054,0.000035,0.060058,0.000008
0.955000,0.811689,0.000036,0.059659,0.000008
0.965000,0.810124,0.000037,0.059371,0.000008
0.975000,0.808637,0.000037,0.058893,0.000009
0.985000,0.807243,0.000038,0.058374,0.000009
0.995000,0.805719,0.000038,0.058138,0.000009
1.005000,0.800980,0.000038,0.057792,0.000009
1.015000,0.799636,0.000038,0.057415,0.000008
1.025000,0.798144,0.000039,0.057011,0.000008
1.035000,0.796752,0.000039,0.056748,0.000008
1.045000,0.795244,0.000040,0.056615,0.000009
1.055000,0.793727,0.000040,0.056480,0.000010
1.065000,0.792392,0.000041,0.056142,0.000010
1.075000,0.790968,0.000043,0.055932,0.000010
1.085000,0.789575,0.000043,0.055646,0.000011
1.095000,0.788094,0.000043,0.055656,0.000010
1.105000,0.783559,0.000041,0.055465,0.000009
1.115000,0.782164,0.000042,0.055416,0.000009
1.125000,0.780690,0.000043,0.055111,0.000009
1.135000,0.779394,0.000044,0.054763,0.000009
1.145000,0.777925,0.000043,0.054684,0.000009
1.155000,0.776624,0.000043,0.054555,0.000008
1.165000,0.775222,0.000043,0.054315,0.000008
1.175000,0.773981,0.000044,0.054187,0.000007
1.185000,0.772680,0.000044,0.054017,0.000008
1.195000,0.771367,0.000045,0.053921,0.000008
1.205000,0.766792,0.000044,0.053686,0.000008
1.215000,0.765448,0.000045,0.053280,0.000009
1.225000,0.764153,0.000045,0.052819,0.000008
1.235000,0.762817,0.000047,0.052647,0.000007
1.245000,0.761449,0.000046,0.052339,0.000008
1.255000,0.760224,0.000047,0.052214,0.000008
1.265000,0.758881,0.000048,0.052130,0.000008
1.275000,0.757615,0.000049,0.052227,0.000008
1.285000,0.756345,0.000049,0.052010,0.000009
1.295000,0.755076,0.000051,0.051900,0.000008
1.305000,0.750563,0.000050,0.052021,0.000009
1.315000,0.749285,0.000050,0.051889,0.000008
1.325000,0.747997,0.000050,0.051759,0.000008
1.335000,0.746727,0.000051,0.051768,0.000008
1.345000,0.745393,0.000051,0.051688,0.000009
1.355000,0.744238,0.000052,0.051598,0.000008
1.365000,0.742926,0.000052,0.051275,0.000008
1.375000,0.741643,0.000052,0.051078,0.000008
1.385000,0.740284,0.000052,0.051101,0.000009
1.395000,0.739033,0.000053,0.050930,0.000009
1.405000,0.734659,0.000053,0.050765,0.000009
1.415000,0.733472,0.000054,0.050372,0.000009
1.425000,0.732242,0.000054,0.050102,0.000008
1.435000,0.731001,0.000055,0.050246,0.000007
1.445000,0.729774,0.000055,0.049594,0.000007
1.455000,0.728551,0.000055,0.049261,0.000007
1.465000,0.727336,0.000057,0.049081,0.000008
1.475000,0.726036,0.000057,0.049157,0.000007
1.485000,0.724803,0.000058,0.048880,0.000008
1.495000,0.723618,0.000059,0.048633,0.000007
1.505000,0.719189,0.000057,0.048497,0.000007
1.515000,0.718028,0.000058,0.048644,0.000007
1.525000,0.716863,0.000059,0.048464,0.000007
1.535000,0.715658,0.000059,0.048027,0.000006
1.545000,0.714319,0.000059,0.047666,0.000007
1.555000,0.713057,0.000058,0.047323,0.000007
1.565000,0.711796,0.000058,0.047004,0.000007
1.575000,0.710657,0.000057,0.046762,0.000006
1.585000,0.709423,0.000058,0.046674,0.000006
1.595000,0.708156,0.000058,0.046812,0.000006
1.605000,0.703803,0.000057,0.047044,0.000007
1.615000,0.702695,0.000057,0.046962,0.000007
1.625000,0.701542,0.000058,0.046909,0.000008
1.635000,0.700492,0.000058,0.046708,0.000008
1.645000,0.699187,0.000059,0.046265,0.000007
1.655000,0.698112,0.000060,0.046276,0.000008
1.665000,0.696940,0.000061,0.046043,0.000008
1.675000,0.695769,0.000062,0.045794,0.000007
1.685000,0.694548,0.000062,0.045597,0.000007
1.695000,0.693407,0.000064,0.045387,0.000007
1.705000,0.689242,0.000063,0.045047,0.000006
1.715000,0.688098,0.000063,0.044777,0.000006
1.725000,0.686774,0.000063,0.044660,0.000006
1.735000,0.685686,0.000063,0.044508,0.000006
1.745000,0.684612,0.000064,0.044261,0.000006
1.755000,0.683497,0.000064,0.044126,0.000006
1.765000,0.682331,0.000065,0.044425,0.000006
1.775000,0.681195,0.000065,0.044597,0.000006
1.785000,0.680114,0.000066,0.044448,0.000007
1.795000,0.679000,0.000066,0.044277,0.000007
1.805000,0.674898,0.000065,0.044194,0.000006
1.815000,0.673811,0.000066,0.044194,0.000006
1.825000,0.672766,0.000066,0.044118,0.000006
1.835000,0.671694,0.000067,0.043895,0.000006
1.845000,0.670604,0.000067,0.043882,0.000006
1.855000,0.669600,0.000067,0.043881,0.000006
1.865000,0.668601,0.000068,0.043776,0.000006
1.875000,0.667429,0.000067,0.043821,0.000007
1.885000,0.666372,0.000068,0.043544,0.000007
1.895000,0.665197,0.000068,0.043414,0.000006
1.905000,0.661141,0.000066,0.043334,0.000006
1.915000,0.660080,0.000066,0.043055,0.000007
1.925000,0.659069,0.000067,0.042638,0.000007
1.935000,0.657995,0.000068,0.042329,0.000006
1.945000,0.656902,0.000067,0.041920,0.000006
1.955000,0.655932,0.000068,0.041531,0.000005
1.965000,0.654877,0.000068,0.041315,0.000006
1.975000,0.653888,0.000070,0.041000,0.000007
1.985000,0.652788,0.000069,0.040862,0.000006
1.995000,0.651811,0.000069,0.040637,0.000006
2.005000,0.647790,0.000068,0.040346,0.000005
2.015000,0.646802,0.000068,0.040028,0.000005
2.025000,0.645793,0.000068,0.039938,0.000005
2.035000,0.644837,0.000069,0.039783,0.000005
2.045000,0.643832,0.000070,0.039738,0.000005
2.055000,0.642714,0.000071,0.039711,0.000005
2.065000,0.641783,0.000071,0.039818,0.000005
2.075000,0.640835,0.000071,0.039531,0.000005
2.085000,0.639864,0.000071,0.039240,0.000004
2.095000,0.638827,0.000071,0.039286,0.000005
2.105000,0.634861,0.000070,0.039561,0.000005
2.115000,0.633861,0.000069,0.039561,0.000005
2.125000,0.632870,0.000069,0.039506,0.000004
2.135000,0.631905,0.000069,0.039261,0.000004
2.145000,0.630942,0.000070,0.039012,0.000004
2.155000,0.629920,0.000070,0.038563,0.000004
2.165000,0.628890,0.000070,0.038755,0.000005
2.175000,0.627921,0.000071,0.038814,0.000005
2.185000,0.626973,0.000072,0.038779,0.000006
2.195000,0.626031,0.000073,0.038528,0.000006
2.205000,0.622169,0.000072,0.038444,0.000006
2.215000,0.621196,0.000073,0.038483,0.000008
2.225000,0.620181,0.000072,0.038257,0.000007
2.235000,0.619090,0.000072,0.038677,0.000008
2.245000,0.618149,0.000072,0.038516,0.000008
2.255000,0.617241,0.000073,0.038196,0.000008
2.265000,0.616210,0.000072,0.038268,0.000008
2.275000,0.615310,0.000074,0.038050,0.000007
2.285000,0.614387,0.000074,0.038081,0.000006
2.295000,0.613379,0.000074,0.038064,0.000006
2.305000,0.609562,0.000073,0.038015,0.000006
2.315000,0.608629,0.000073,0.038084,0.000006
2.325000,0.607725,0.000074,0.037800,0.000005
2.335000,0.606754,0.000073,0.037757,0.000005
2.345000,0.605856,0.000074,0.037428,0.000005
2.355000,0.604885,0.000074,0.037052,0.000005
2.365000,0.603916,0.000075,0.037044,0.000004
2.375000,0.602908,0.000075,0.037169,0.000004
2.385000,0.601977,0.000075,0.037044,0.000004
2.395000,0.600991,0.000075,0.037086,0.000005
2.405000,0.597232,0.000073,0.037130,0.000005
2.415000,0.596264,0.000074,0.036947,0.000004
2.425000,0.595417,0.000073,0.036543,0.000004
2.435000,0.594477,0.000074,0.036063,0.000004
2.445000,0.593664,0.000075,0.035822,0.000004
2.455000,0.592707,0.000076,0.035619,0.000004
2.465000,0.591833,0.000075,0.035550,0.000004
2.475000,0.591012,0.000076,0.035454,0.000004
2.485000,0.590078,0.000077,0.035342,0.000004
2.495000,0.589259,0.000077,0.034952,0.000004
2.505000,0.585611,0.000075,0.034741,0.000004
2.515000,0.584678,0.000075,0.034819,0.000004
2.525000,0.583778,0.000075,0.034753,0.000004
2.535000,0.582909,0.000075,0.034616,0.000004
2.545000,0.582027,0.000075,0.034653,0.000004
2.555000,0.581122,0.000076,0.034648,0.000004
2.565000,0.580255,0.000076,0.034428,0.000003
2.575000,0.579333,0.000076,0.034511,0.000003
2.585000,0.578414,0.000077,0.034800,0.000004
2.595000,0.577609,0.000077,0.034576,0.000004
2.605000,0.573985,0.000076,0.034366,0.000004
2.615000,0.573079,0.000076,0.034490,0.000004
2.625000,0.572217,0.000076,0.034356,0.000004
2.635000,0.571389,0.000076,0.034177,0.000004
2.645000,0.570576,0.000077,0.034248,0.000004
2.655000,0.569724,0.000077,0.034336,0.000004
