distance,flux0,varflux0,flux1,varflux1
0.005000,0.995173,0.001220,0.918795,0.007853
0.015000,0.994825,0.001266,0.861386,0.005564
0.025000,0.994174,0.001358,0.793064,0.004451
0.035000,0.993320,0.001472,0.727013,0.004062
0.045000,0.992266,0.001647,0.666355,0.004009
0.055000,0.991027,0.001897,0.611227,0.004257
0.065000,0.989671,0.002190,0.561524,0.004716
0.075000,0.988162,0.002572,0.516605,0.005448
0.085000,0.986577,0.002991,0.476163,0.006339
0.095000,0.984915,0.003459,0.439478,0.007399
0.105000,0.979791,0.003961,0.405678,0.008527
0.115000,0.978290,0.004521,0.375792,0.009699
0.125000,0.976655,0.005198,0.348621,0.010971
0.135000,0.975000,0.005886,0.324059,0.012305
0.145000,0.973315,0.006604,0.301754,0.013577
0.155000,0.971575,0.007368,0.281375,0.014815
0.165000,0.969802,0.008169,0.262938,0.016059
0.175000,0.967967,0.009012,0.246203,0.017224
0.185000,0.966124,0.009869,0.231046,0.018390
0.195000,0.964224,0.010769,0.217222,0.019468
0.205000,0.958917,0.011554,0.204542,0.020557
0.215000,0.957133,0.012477,0.193261,0.021525
0.225000,0.955311,0.013432,0.183021,0.022409
0.235000,0.953488,0.014385,0.173597,0.023210
0.245000,0.951653,0.015347,0.165005,0.023893
0.255000,0.949769,0.016352,0.157230,0.024563
0.265000,0.947917,0.017322,0.150113,0.025151
0.275000,0.946016,0.018329,0.143670,0.025716
0.285000,0.944126,0.019324,0.137759,0.026212
0.295000,0.942232,0.020324,0.132357,0.026663
0.305000,0.936973,0.021087,0.127296,0.027028
0.315000,0.935137,0.022093,0.122823,0.027380
0.325000,0.933316,0.023093,0.118842,0.027779
0.335000,0.931512,0.024064,0.115094,0.028035
0.345000,0.929692,0.025051,0.111591,0.028256
0.355000,0.927833,0.026056,0.108464,0.028451
0.365000,0.925991,0.027040,0.105610,0.028622
0.375000,0.924154,0.028023,0.102985,0.028806
0.385000,0.922283,0.029019,0.100619,0.028952
0.395000,0.920443,0.029990,0.098370,0.029044
0.405000,0.915236,0.030668,0.096197,0.029089
0.415000,0.913470,0.031610,0.094204,0.029064
0.425000,0.911696,0.032554,0.092438,0.029100
0.435000,0.909926,0.033491,0.090863,0.029169
0.445000,0.908155,0.034426,0.089237,0.029110
0.455000,0.906368,0.035361,0.087794,0.029057
0.465000,0.904617,0.036268,0.086412,0.028985
0.475000,0.902837,0.037185,0.085151,0.028918
0.485000,0.901055,0.038102,0.083972,0.028855
0.495000,0.899253,0.039028,0.082873,0.028787
0.505000,0.894160,0.039541,0.081842,0.028710
0.515000,0.892447,0.040423,0.080950,0.028695
0.525000,0.890701,0.041323,0.080060,0.028603
0.535000,0.888999,0.042181,0.079210,0.028506
0.545000,0.887267,0.043058,0.078441,0.028436
0.555000,0.885573,0.043898,0.077673,0.028334
0.565000,0.883919,0.044705,0.076872,0.028184
0.575000,0.882212,0.045541,0.076120,0.028021
0.585000,0.880494,0.046383,0.075490,0.027934
0.595000,0.878805,0.047200,0.074857,0.027828
0.605000,0.873777,0.047594,0.074241,0.027673
0.615000,0.872139,0.048389,0.073741,0.027612
0.625000,0.870473,0.049200,0.073203,0.027511
0.635000,0.868824,0.049992,0.072648,0.027397
0.645000,0.867158,0.050786,0.072054,0.027206
0.655000,0.865537,0.051545,0.071571,0.027099
0.665000,0.863872,0.052331,0.071100,0.026973
0.675000,0.862242,0.053083,0.070693,0.026871
0.685000,0.860621,0.053833,0.070300,0.026797
0.695000,0.858960,0.054597,0.069896,0.026675
0.705000,0.854067,0.054832,0.069554,0.026615
0.715000,0.852467,0.055567,0.069176,0.026501
0.725000,0.850876,0.056291,0.068791,0.026381
0.735000,0.849303,0.057001,0.068398,0.026256
0.745000,0.847749,0.057691,0.067924,0.026067
0.755000,0.846180,0.058387,0.067536,0.025907
0.765000,0.844604,0.059084,0.067172,0.025777
0.775000,0.843010,0.059787,0.066771,0.025614
0.785000,0.841430,0.060474,0.066536,0.025576
0.795000,0.839877,0.061143,0.066242,0.025504
0.805000,0.835064,0.061259,0.065915,0.025399
0.815000,0.833516,0.061934,0.065560,0.025243
0.825000,0.832006,0.062571,0.065181,0.025071
0.835000,0.830481,0.063218,0.064859,0.024961
0.845000,0.828947,0.063870,0.064622,0.024886
0.855000,0.827423,0.064512,0.064395,0.024849
0.865000,0.825904,0.065142,0.064081,0.024728
0.875000,0.824391,0.065762,0.063722,0.024552
0.885000,0.822881,0.066379,0.063480,0.024475
0.895000,0.821367,0.066996,0.063220,0.024392
0.905000,0.816611,0.067014,0.062936,0.024267
0.915000,0.815097,0.067642,0.062794,0.024263
0.925000,0.813647,0.068217,0.062473,0.024098
0.935000,0.812157,0.068819,0.062237,0.024001
0.945000,0.810699,0.069396,0.061954,0.023857
0.955000,0.809228,0.069981,0.061753,0.023802
0.965000,0.807778,0.070543,0.061421,0.023632
0.975000,0.806309,0.071118,0.061157,0.023519
0.985000,0.804864,0.071670,0.060798,0.023327
0.995000,0.803401,0.072229,0.060586,0.023252
1.005000,0.798775,0.072119,0.060390,0.023202
1.015000,0.797348,0.072663,0.060145,0.023108
