distance,flux0,varflux0,flux1,varflux1
0.005000,0.995422,0.001340,0.848743,0.009664
0.015000,0.994991,0.001405,0.824775,0.006179
0.025000,0.994228,0.001497,0.784482,0.003505
0.035000,0.993197,0.001634,0.734395,0.002632
0.045000,0.991965,0.001825,0.679406,0.002965
0.055000,0.990483,0.002138,0.623133,0.003708
0.065000,0.988921,0.002464,0.568160,0.004260
0.075000,0.987171,0.002911,0.516390,0.004415
0.085000,0.985392,0.003375,0.468996,0.004226
0.095000,0.983446,0.003969,0.426534,0.003861
0.105000,0.979047,0.004592,0.384117,0.003236
0.115000,0.977187,0.005312,0.355236,0.003080
0.125000,0.975207,0.006138,0.327806,0.003135
0.135000,0.973232,0.006976,0.302012,0.003321
0.145000,0.971162,0.007887,0.277842,0.003550
0.155000,0.969009,0.008881,0.255404,0.003820
0.165000,0.966810,0.009919,0.234650,0.004099
0.175000,0.964609,0.010974,0.215578,0.004378
0.185000,0.962328,0.012102,0.198063,0.004634
0.195000,0.959988,0.013288,0.182102,0.004888
0.205000,0.955262,0.014342,0.165001,0.005090
0.215000,0.952996,0.015578,0.152855,0.005273
0.225000,0.950663,0.016864,0.141596,0.005461
0.235000,0.948350,0.018139,0.131165,0.005659
0.245000,0.945965,0.019471,0.121557,0.005857
0.255000,0.943596,0.020794,0.112681,0.006037
0.265000,0.941205,0.022129,0.104542,0.006214
0.275000,0.938804,0.023479,0.097084,0.006395
0.285000,0.936402,0.024831,0.090255,0.006568
0.295000,0.933955,0.026220,0.083990,0.006710
0.305000,0.929108,0.027414,0.077139,0.006848
0.315000,0.926710,0.028807,0.072213,0.006945
0.325000,0.924319,0.030201,0.067692,0.007058
0.335000,0.921900,0.031604,0.063514,0.007150
0.345000,0.919472,0.033017,0.059685,0.007244
0.355000,0.917025,0.034435,0.056134,0.007303
0.365000,0.914581,0.035842,0.052890,0.007366
0.375000,0.912136,0.037249,0.049899,0.007416
0.385000,0.909665,0.038662,0.047171,0.007464
0.395000,0.907183,0.040086,0.044679,0.007517
0.405000,0.902349,0.041210,0.041912,0.007565
0.415000,0.899912,0.042617,0.039900,0.007584
0.425000,0.897534,0.043968,0.038064,0.007613
0.435000,0.895085,0.045368,0.036379,0.007641
0.445000,0.892627,0.046774,0.034850,0.007680
0.455000,0.890185,0.048159,0.033428,0.007703
0.465000,0.887789,0.049494,0.032092,0.007695
0.475000,0.885356,0.050846,0.030902,0.007712
0.485000,0.882969,0.052159,0.029802,0.007726
0.495000,0.880574,0.053469,0.028760,0.007706
0.505000,0.875805,0.054433,0.027616,0.007701
0.515000,0.873410,0.055750,0.026786,0.007691
0.525000,0.871097,0.057006,0.026017,0.007685
0.535000,0.868716,0.058296,0.025285,0.007650
0.545000,0.866370,0.059558,0.024631,0.007643
0.555000,0.864041,0.060794,0.023989,0.007601
0.565000,0.861639,0.062067,0.023434,0.007580
0.575000,0.859311,0.063292,0.022910,0.007566
0.585000,0.856949,0.064521,0.022422,0.007537
0.595000,0.854623,0.065725,0.021960,0.007505
0.605000,0.849937,0.066509,0.021464,0.007476
0.615000,0.847626,0.067707,0.021092,0.007458
0.625000,0.845275,0.068913,0.020751,0.007434
0.635000,0.842991,0.070073,0.020440,0.007420
0.645000,0.840683,0.071238,0.020142,0.007392
0.655000,0.838385,0.072382,0.019877,0.007373
0.665000,0.836088,0.073525,0.019638,0.007368
0.675000,0.833802,0.074649,0.019393,0.007337
0.685000,0.831473,0.075794,0.019166,0.007307
0.695000,0.829236,0.076867,0.018967,0.007291
0.705000,0.824641,0.077475,0.018740,0.007269
0.715000,0.822419,0.078542,0.018553,0.007236
0.725000,0.820187,0.079601,0.018372,0.007194
0.735000,0.817949,0.080667,0.018204,0.007166
0.745000,0.815761,0.081679,0.018032,0.007121
0.755000,0.813507,0.082730,0.017882,0.007085
0.765000,0.811268,0.083766,0.017745,0.007053
0.775000,0.809050,0.084787,0.017611,0.007030
0.785000,0.806818,0.085800,0.017486,0.007000
0.795000,0.804595,0.086801,0.017374,0.006976
0.805000,0.800099,0.087243,0.017248,0.006950
0.815000,0.797877,0.088236,0.017147,0.006921
0.825000,0.795732,0.089183,0.017039,0.006892
0.835000,0.793542,0.090145,0.016925,0.006846
0.845000,0.791338,0.091115,0.016840,0.006826
0.855000,0.789147,0.092064,0.016745,0.006794
0.865000,0.786971,0.092996,0.016661,0.006770
0.875000,0.784795,0.093925,0.016589,0.006755
0.885000,0.782608,0.094847,0.016509,0.006728
0.895000,0.780457,0.095747,0.016434,0.006700
0.905000,0.776046,0.096025,0.016355,0.006675
0.915000,0.773939,0.096891,0.016259,0.006631
0.925000,0.771802,0.097764,0.016184,0.006598
0.935000,0.769696,0.098613,0.016131,0.006581
0.945000,0.767593,0.099456,0.016079,0.006569
0.955000,0.765471,0.100304,0.016021,0.006547
0.965000,0.763375,0.101133,0.015978,0.006538
0.975000,0.761269,0.101960,0.015911,0.006506
0.985000,0.759171,0.102773,0.015845,0.006475
0.995000,0.757087,0.103568,0.015783,0.006446
1.005000,0.752775,0.103691,0.015722,0.006418
1.015000,0.750760,0.104449,0.015666,0.006399
1.025000,0.748703,0.105219,0.015582,0.006350
1.035000,0.746660,0.105978,0.015528,0.006327
1.045000,0.744601,0.106742,0.015457,0.006291
1.055000,0.742551,0.107489,0.015404,0.006265
1.065000,0.740525,0.108220,0.015347,0.006236
1.075000,0.738473,0.108965,0.015286,0.006210
1.085000,0.736456,0.109676,0.015214,0.006168
1.095000,0.734416,0.110397,0.015166,0.006149
1.105000,0.730239,0.110358,0.015118,0.006131
1.115000,0.728211,0.111061,0.015070,0.006107
1.125000,0.726238,0.111742,0.015021,0.006092
1.135000,0.724200,0.112439,0.014964,0.006057
1.145000,0.722196,0.113116,0.014938,0.006049
1.155000,0.720215,0.113787,0.014902,0.006043
1.165000,0.718216,0.114451,0.014851,0.006013
1.175000,0.716239,0.115095,0.014802,0.005985
1.185000,0.714274,0.115730,0.014760,0.005966
1.195000,0.712328,0.116355,0.014717,0.005946
1.205000,0.708174,0.116221,0.014654,0.005909
1.215000,0.706239,0.116833,0.014606,0.005887
1.225000,0.704313,0.117435,0.014555,0.005858
1.235000,0.702405,0.118022,0.014491,0.005820
1.245000,0.700484,0.118610,0.014443,0.005794
1.255000,0.698603,0.119172,0.014393,0.005766
1.265000,0.696672,0.119757,0.014344,0.005742
1.275000,0.694787,0.120311,0.014304,0.005725
1.285000,0.692872,0.120879,0.014264,0.005708
1.295000,0.690992,0.121422,0.014191,0.005666
1.305000,0.686933,0.121164,0.014147,0.005644
1.315000,0.685042,0.121706,0.014107,0.005625
1.325000,0.683161,0.122239,0.014069,0.005608
