distance,flux
0.010983,1.472268
0.032949,1.382173
0.054914,1.297592
0.076880,1.218186
0.098846,1.143640
0.120811,1.073655
0.142777,1.007953
0.164743,0.946272
0.186709,0.888366
0.208674,0.834002
0.230640,0.782966
0.252606,0.735053
0.274571,0.690072
0.296537,0.647843
0.318503,0.608199
0.340468,0.570980
0.362434,0.536039
0.384400,0.503237
0.406366,0.472441
0.428331,0.443531
0.450297,0.416389
0.472263,0.390908
0.494228,0.366987
0.516194,0.344529
0.538160,0.323446
0.560126,0.303653
0.582091,0.285071
0.604057,0.267626
0.626023,0.251249
0.647988,0.235874
0.669954,0.221440
0.691920,0.207889
0.713886,0.195167
0.735851,0.183224
0.757817,0.172012
0.779783,0.161485
0.801748,0.151603
0.823714,0.142326
0.845680,0.133617
0.867645,0.125440
0.889611,0.117764
0.911577,0.110557
0.933543,0.103792
0.955508,0.097440
0.977474,0.091477
0.999440,0.085879
1.021405,0.080624
1.043371,0.075690
1.065337,0.071059
1.087303,0.066710
1.109268,0.062628
1.131234,0.058795
1.153200,0.055197
1.175165,0.051820
1.197131,0.048649
1.219097,0.045672
1.241063,0.042877
1.263028,0.040253
1.284994,0.037790
1.306960,0.035477
1.328925,0.033306
1.350891,0.031268
1.372857,0.029354
1.394823,0.027558
1.416788,0.025872
1.438754,0.024288
1.460720,0.022802
1.482685,0.021407
1.504651,0.020097
1.526617,0.018867
1.548582,0.017712
1.570548,0.016628
1.592514,0.015611
1.614480,0.014656
1.636445,0.013759
1.658411,0.012917
1.680377,0.012126
1.702342,0.011384
1.724308,0.010688
1.746274,0.010034
1.768240,0.009419
1.790205,0.008843
1.812171,0.008302
1.834137,0.007794
1.856102,0.007317
1.878068,0.006869
1.900034,0.006449
1.922000,0.006054
1.943965,0.005684
1.965931,0.005336
1.987897,0.005009
2.009862,0.004703
2.031828,0.004415
2.053794,0.004145
2.075759,0.003891
2.097725,0.003653
2.119691,0.003429
2.141657,0.003219
2.163622,0.003022
2.185588,0.002837
2.202764,0.002748
2.215150,0.002747
2.227537,0.002746
2.239923,0.002745
2.252309,0.002744
2.264696,0.002743
2.277082,0.002742
2.289468,0.002741
2.301855,0.002740
2.314241,0.002739
2.326627,0.002737
2.339014,0.002736
2.351400,0.002735
2.363786,0.002734
2.376173,0.002733
2.388559,0.002732
2.400945,0.002731
2.413332,0.002730
2.425718,0.002729
2.438104,0.002728
2.450491,0.002727
2.462877,0.002726
2.475263,0.002725
2.487650,0.002723
2.500036,0.002722
2.512422,0.002721
2.524809,0.002720
2.537195,0.002719
2.549581,0.002718
2.561968,0.002717
2.574354,0.002716
2.586741,0.002715
2.599127,0.002714
2.611513,0.002713
2.623900,0.002712
2.636286,0.002711
2.648672,0.002709
2.661059,0.002708
2.673445,0.002707
2.685831,0.002706
2.698218,0.002705
2.710604,0.002704
2.722990,0.002703
2.735377,0.002702
2.747763,0.002701
2.760149,0.002700
2.772536,0.002699
2.784922,0.002698
2.797308,0.002697
2.809695,0.002696
2.822081,0.002694
2.834467,0.002693
2.846854,0.002692
2.859240,0.002691
2.871626,0.002690
2.884013,0.002689
2.896399,0.002688
2.908785,0.002687
2.921172,0.002686
2.933558,0.002685
2.945944,0.002684
2.958331,0.002683
2.970717,0.002682
2.983103,0.002681
2.995490,0.002680
3.007876,0.002679
3.020262,0.002677
3.032649,0.002676
3.045035,0.002675
3.057421,0.002674
3.069808,0.002673
3.082194,0.002672
3.094580,0.002671
3.106967,0.002670
3.119353,0.002669
3.131739,0.002668
3.144126,0.002667
3.156512,0.002666
3.168898,0.002665
3.181285,0.002664
3.193671,0.002663
3.206057,0.002662
3.218444,0.002661
3.230830,0.002660
3.243216,0.002658
3.255603,0.002657
3.267989,0.002656
3.280375,0.002655
3.292762,0.002654
3.305148,0.002653
3.317534,0.002652
3.329921,0.002651
3.342307,0.002650
3.354693,0.002649
3.367080,0.002648
3.379466,0.002647
3.391852,0.002646
3.404239,0.002645
3.416625,0.002644
3.429011,0.002643
3.441519,0.002595
3.454147,0.002502
3.466776,0.002413
3.479405,0.002327
3.492033,0.002244
3.504662,0.002164
3.517290,0.002086
3.529919,0.002012
3.542547,0.001940
3.555176,0.001871
